step_idx,day,t,agent_n,unique_action_n,meal_n,sleep_n,mobility_n,digital_n,other_n,actions_joined,step.decision_attempt_count,step.event_emitted_count,step.no_event_count,step.scenario_pre_match_miss_count,step.scenario_skip_count,step.digital_exposure_count,step.digital_supply_seeded_count,step.digital_supply_surface_count,step.digital_supply_completed_count,step.llm_calls_this_step
0,0,21601.0,6,6,0,0,0,0,6,500001485:Review necessary shopping list | 500004777:Wake up and engage in a short exercise routine | 500042477:Prepare a shopping list | 500044556:Wake up and perform light stretching to start the day | 500061990:Determine the shopping list based on needs | 500062228:Begin the day with a morning routine,6.0,0.0,6.0,3.0,0.0,0.0,6.0,2.0,0.0,6.0
1,0,22501.0,6,6,2,0,0,0,4,"500001485:Determine the most convenient store to visit | 500004777:Prepare a light, nutritious breakfast | 500042477:Prepare a shopping list | 500044556:Greet pets if any are at home | 500061990:Determine the shopping list based on needs | 500062228:Prepare a healthy breakfast",6.0,0.0,6.0,2.0,0.0,3.0,0.0,3.0,3.0,5.0
2,0,23401.0,6,6,2,1,1,0,2,"500001485:Prepare for a short walk or drive to the store | 500004777:Prepare a light, nutritious breakfast | 500042477:Review weather conditions for appropriate attire | 500044556:Make a cup of tea or coffee to relax | 500061990:Review current savings and budget for shopping | 500062228:Prepare a healthy breakfast",6.0,0.0,6.0,4.0,0.0,2.0,0.0,1.0,0.0,4.0
3,0,24301.0,6,6,0,0,0,0,6,"500001485:Check and dress appropriately for the weather | 500004777:Review or set the day's agenda | 500042477:Get dressed in comfortable, weather-appropriate clothing | 500044556:Review the morning's weather forecast | 500061990:Review current savings and budget for shopping | 500062228:Read or engage in a hobby to start the day positively",6.0,0.0,6.0,3.0,0.0,2.0,0.0,0.0,0.0,5.0
4,0,25201.0,6,6,1,0,0,0,5,"500001485:Retrieve a list of friends' contact information | 500004777:Review or set the day's agenda | 500042477:Prepare a small snack or meal for later, given the early hour | 500044556:Perform morning hygiene routine | 500061990:Review current savings and budget for shopping | 500062228:Read or engage in a hobby to start the day positively",3.0,0.0,3.0,3.0,3.0,2.0,0.0,0.0,0.0,1.0
5,0,26101.0,6,6,1,0,0,0,5,"500001485:Prepare a comfortable sleeping environment | 500004777:Take care of any necessary morning medication | 500042477:Prepare a small snack or meal for later, given the early hour | 500044556:Perform morning hygiene routine | 500061990:Prepare a shopping bag or basket | 500062228:Perform light stretching or exercises",1.0,0.0,1.0,5.0,5.0,1.0,0.0,0.0,0.0,1.0
6,0,27001.0,6,6,1,0,2,0,3,500001485:Change into comfortable sleepwear | 500004777:Enjoy a leisurely morning with coffee or tea | 500042477:Leave home for the shopping destination | 500044556:Have a healthy breakfast | 500061990:Travel to the nearest shopping center or store | 500062228:Perform light stretching or exercises,4.0,0.0,4.0,2.0,2.0,4.0,0.0,1.0,2.0,4.0
7,0,27901.0,6,6,1,1,1,0,3,14:Travel to the nearest shopping center or store | 500001485:Lie down in bed | 500004777:Enjoy a leisurely morning with coffee or tea | 500042477:Perform the shopping tasks as listed on the shopping list | 500044556:Have a healthy breakfast | 500062228:Check contact information,4.0,0.0,4.0,2.0,2.0,4.0,0.0,1.0,1.0,3.0
8,0,28801.0,6,6,0,1,1,0,4,225798:Travel to the nearest shopping center or store | 500001485:Relax and take deep breaths to wind down | 500004777:Reflect on the day's plans and mood before starting the day | 500042477:Check the list of items needed | 500044556:Determine the type of shopping needed based on income and consumption level | 500062228:Prepare shopping list based on current needs,4.0,0.0,4.0,2.0,2.0,1.0,0.0,0.0,0.0,3.0
9,0,29701.0,6,6,0,1,1,0,4,55416:Travel to the nearest shopping center or store | 500001485:Close the bedroom curtains to create a conducive sleeping environment | 500004777:Check current list of necessary items to buy | 500042477:Dress in comfortable clothes | 500044556:Determine the type of shopping needed based on income and consumption level | 500062228:Prepare shopping list based on current needs,4.0,0.0,4.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0
10,0,30601.0,6,6,1,0,0,0,5,500001018:Select and purchase the items on the shopping list | 500001485:Set the alarm for the next day (if needed) | 500004777:Review any current promotions or discounts available | 500042477:Choose a nearby grocery store | 500044556:Prepare to have a meal at home | 500062228:Review weather conditions and dress appropriately,3.0,0.0,3.0,3.0,3.0,1.0,0.0,0.0,0.0,3.0
11,0,31501.0,6,6,1,0,1,0,4,28437:Select and purchase the items on the shopping list | 500001485:Review inventory to check for meal ingredients | 500004777:Review any current promotions or discounts available | 500042477:Walk to the grocery store | 500044556:Check existing food supplies or make a shopping list | 500062228:Check current location for any available shopping options,6.0,0.0,6.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0
12,0,32401.0,6,6,1,0,1,0,4,23023:Walk to the grocery store | 500001485:Prepare ingredients for the meal | 500004777:Prepare a shopping bag or list for ease of mobility | 500038481:Select and purchase the items on the shopping list | 500044556:Check existing food supplies or make a shopping list | 500062228:Check current location for any available shopping options,5.0,0.0,5.0,1.0,1.0,3.0,0.0,0.0,0.0,1.0
13,0,33301.0,6,6,2,0,4,0,0,79759:Walk to the grocery store | 500001485:Prepare ingredients for the meal | 500004777:Leave home to go to the nearest shopping center | 500038481:Return home with the purchased items | 500044556:Start the cooking process | 500062228:Travel to the nearest supermarket or shopping center,4.0,0.0,4.0,2.0,2.0,4.0,0.0,0.0,0.0,3.0
14,0,34201.0,6,6,2,0,2,0,2,"214579:Return home with the purchased items | 500001485:Prepare and cook the meal | 500004777:Navigate to the shopping center, considering the sunny weather and comfortable temperature | 500044556:Start the cooking process | 500059193:Buy the items on the list | 500062228:Execute shopping list and purchase necessary items",4.0,0.0,4.0,2.0,2.0,2.0,0.0,0.0,0.0,3.0
15,0,35101.0,6,6,2,0,2,0,2,500001485:Prepare and cook the meal | 500004777:Begin shopping for items on the list and any additional needs | 500044556:Ensure food is properly cooked and safe to eat | 500059193:Check current contact list for friends available to meet | 500061990:Return home with the purchased items | 500062228:Return home with purchased items,4.0,0.0,4.0,2.0,2.0,3.0,0.0,0.0,0.0,3.0
16,0,36001.0,6,6,2,2,0,0,2,500001485:Prepare and cook the meal | 500004777:Begin shopping for items on the list and any additional needs | 500044556:Ensure food is properly cooked and safe to eat | 500059193:Check current contact list | 500061990:Check if the environment is suitable for sleep | 500062228:Prepare a comfortable sleep environment,3.0,0.0,3.0,3.0,3.0,1.0,0.0,0.0,0.0,2.0
17,0,36901.0,6,6,2,0,0,0,4,500001485:Serve the meal on a plate | 500004777:Begin shopping for items on the list and any additional needs | 500044556:Serve and present the meal | 500059193:Head towards home | 500061990:Check inventory for available food items | 500062228:Set up a bedtime routine,3.0,0.0,3.0,3.0,3.0,1.0,0.0,0.0,0.0,2.0
18,0,37801.0,6,6,2,1,0,0,3,500001485:Eat the meal | 500004777:Begin shopping for items on the list and any additional needs | 500044556:Enjoy the meal | 500059193:Head towards home | 500061990:Check inventory for available food items | 500062228:Wind down to relax,4.0,0.0,4.0,3.0,2.0,1.0,0.0,0.0,0.0,1.0
19,0,38701.0,6,6,3,1,0,0,2,500001485:Eat the meal | 500004777:Prepare the kitchen for cooking | 500044556:Enjoy the meal | 500059193:Head towards home | 500061990:Select a recipe and gather necessary ingredients | 500062228:Wind down to relax,1.0,0.0,1.0,5.0,5.0,1.0,0.0,0.0,0.0,0.0
20,0,39601.0,6,6,4,1,0,0,1,500001485:Clean up after the meal | 500004777:Prepare the kitchen for cooking | 500044556:Enjoy the meal | 500059193:Unlock and enter the home | 500061990:Prepare the cooking area | 500062228:Lie down in bed,1.0,0.0,1.0,5.0,5.0,1.0,0.0,0.0,0.0,1.0
21,0,40501.0,6,6,3,1,0,0,2,500001485:Clean up after the meal | 500004777:Select and prepare ingredients | 500044556:Enjoy the meal | 500059193:Unlock and enter the home | 500061990:Begin preparing the selected dish | 500062228:Close the bedroom curtains for privacy and darkness,1.0,0.0,1.0,5.0,5.0,1.0,0.0,0.0,0.0,1.0
22,0,41401.0,6,6,1,3,0,0,2,500001485:Prepare for sleep | 500004777:Select and prepare ingredients | 500044556:Prepare for sleep by ensuring the environment is comfortable | 500059193:Unlock and enter the home | 500061990:Begin preparing the selected dish | 500062228:Initiate the sleep process,1.0,0.0,1.0,5.0,5.0,1.0,0.0,0.0,0.0,0.0
23,0,42301.0,6,6,4,1,0,0,1,500001485:Adjust the room temperature to a comfortable level | 500004777:Start cooking the meal | 500044556:Prepare for sleep | 500059193:Select a suitable eating spot outdoors | 500061990:Monitor cooking progress and adjust as needed | 500062228:Ensure home environment is suitable for eating,2.0,0.0,2.0,4.0,4.0,0.0,0.0,0.0,0.0,2.0
24,0,43201.0,6,6,4,1,0,0,1,500001485:Ensure a comfortable sleeping environment | 500004777:Start cooking the meal | 500044556:Get comfortable in the bed | 500059193:Prepare a simple meal or snack | 500061990:Monitor cooking progress and adjust as needed | 500062228:Prepare a simple meal considering health and dietary needs,1.0,0.0,1.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0
25,0,44101.0,6,6,4,1,0,0,1,500001485:Set the alarm for the next morning | 500004777:Start cooking the meal | 500044556:Turn off any lights or electronic devices that might disrupt sleep | 500059193:Prepare a simple meal or snack | 500061990:Enjoy a home-cooked meal | 500062228:Prepare a simple meal considering health and dietary needs,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0
26,0,45001.0,6,6,4,1,0,0,1,500001485:Set the alarm for the next morning | 500004777:Ensure the meal is prepared to a safe temperature | 500044556:Relax and take deep breaths to induce sleep | 500059193:Sit down and enjoy the meal | 500061990:Enjoy a home-cooked meal | 500062228:Serve the meal on a comfortable setting,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0
27,0,45901.0,6,6,3,2,0,0,1,500001485:Relax and lie down in bed | 500004777:Ensure the meal is prepared to a safe temperature | 500044556:Set an alarm if needed for the next day | 500059193:Sit down and enjoy the meal | 500061990:Check for comfort and necessary conditions for sleep | 500062228:Eat the prepared meal,1.0,0.0,1.0,5.0,5.0,0.0,0.0,0.0,0.0,1.0
28,0,46801.0,6,6,3,3,0,0,0,500001485:Enter a state of sleep | 500004777:Serve the meal | 500044556:Lie down and drift off to sleep | 500059193:Take in the sunny weather while eating | 500061990:Prepare the bedroom with appropriate temperature | 500062228:Eat the prepared meal,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0
29,0,47701.0,6,6,3,2,0,0,1,500001485:Check if environment is suitable for sleeping | 500004777:Enjoy the meal | 500044556:Prepare the bedroom for sleep | 500059193:Take in the sunny weather while eating | 500061990:Prepare the bedroom with appropriate temperature | 500062228:Wash hands after the meal,1.0,0.0,1.0,5.0,5.0,0.0,0.0,0.0,0.0,1.0
30,0,48601.0,6,6,3,0,0,0,3,500001485:Check if environment is suitable for sleeping | 500004777:Enjoy the meal | 500044556:Set the alarm for a comfortable wake-up time | 500059193:Evaluate the meal's taste and quality | 500061990:Ensure all electronic devices are turned off to create a quiet environment | 500062228:Dispose of the meal-related waste properly,1.0,0.0,1.0,5.0,5.0,1.0,0.0,0.0,0.0,1.0
31,0,49501.0,6,6,1,3,0,0,2,500001485:Relax in a comfortable position in the living room | 500004777:Relax in the comfortable home environment | 500044556:Perform a relaxing bedtime routine | 500059193:Dispose of any waste properly | 500061990:Relax and settle down for sleep | 500062228:Dispose of the meal-related waste properly,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0
32,0,50401.0,6,6,0,3,1,0,2,500001485:Relax in a comfortable position in the living room | 500004777:Relax in the comfortable home environment | 500044556:Perform a relaxing bedtime routine | 500059193:Return home from current location | 500061990:Set an alarm if needed for any morning activities | 500062228:Ensure a comfortable sleep environment,1.0,0.0,1.0,5.0,5.0,1.0,0.0,0.0,0.0,1.0
33,0,51301.0,6,6,0,4,1,0,1,500001485:Prep the bedroom for sleep by adjusting the temperature and light | 500004777:Ensure the bedroom environment is conducive for sleep | 500044556:Lie down in bed | 500059193:Return home from current location | 500061990:Close the curtains or blinds to block out sunlight | 500062228:Prepare for sleep by changing into comfortable clothing,2.0,0.0,2.0,4.0,4.0,1.0,0.0,0.0,0.0,1.0
34,0,52201.0,6,6,0,1,1,0,4,500001485:Prepare a comfortable sleeping environment | 500004777:Adjust the room temperature if necessary | 500044556:Close the curtains for a darker environment | 500059193:Return home from current location | 500061990:Prepare for relaxation | 500062228:Prepare for sleep by ensuring the room is comfortable,2.0,0.0,2.0,4.0,4.0,1.0,0.0,0.0,0.0,1.0
35,0,53101.0,6,6,0,2,1,0,3,"500001485:Ensure the room is at a suitable temperature for sleeping | 500004777:Adjust the room temperature if necessary | 500044556:Begin to drift off to sleep | 500059193:Return home | 500061990:Set up a comfortable sleeping environment | 500062228:Relax and unwind, possibly with a light activity",2.0,0.0,2.0,4.0,4.0,1.0,0.0,0.0,0.0,1.0
36,0,54001.0,6,6,0,5,1,0,0,"500001485:Relax and unwind to signal the body it is time to sleep | 500004777:Prepare for sleep by changing into comfortable sleepwear | 500044556:Relax for a few minutes to prepare for sleep | 500059193:Return home | 500061990:Relax and prepare mind for sleep | 500062228:Relax and unwind, possibly with a light activity",1.0,0.0,1.0,5.0,5.0,1.0,0.0,0.0,0.0,0.0
