agent_id,day,t,action,status_text_clean,action_hits,status_hits,confidence,review_label,review_reason,step,step.decision_attempt_count,step.llm_unified_called_count,step.llm_unified_non_digital_skip_count,step.scenario_skip_count,step.scenario_skip_fallback_failed_count,step.scenario_skip_fallback_not_triggered_count
1,0,28801,Use a shopping app to locate deals and coupons,"I'm taking a leisurely stroll in the park, the sun shining warmly on me, and I'm reaching for my phone to check for any deals or coupons I might have missed before heading to the store. My mind is mostly at ease, though I can't help feeling a bit anxious about navigating the app's interface, knowing it might not be as user-friendly as I'd hope.",app,,high,definitely_digital,action:shopping app,28801,1.0,1.0,5.0,5.0,0.0,0.0
3,0,28801,Relax with deep breathing exercises,"I'm sitting at home, feeling a bit overwhelmed with the sunny day outside, and am taking a moment to relax with deep breathing exercises after handling some online payment fears.",,payment,medium,definitely_digital,status:online payment,28801,1.0,1.0,5.0,5.0,0.0,0.0
3,0,41401,Enjoy the meal alone as needed,"I am sitting alone in the comfortable chair at home, feeling a bit distressed because the online payment system keeps giving me a tough time. The sunny weather and moderate temperature outside don't seem to lift my spirits, as I'm too worried about using technology.",,payment,medium,definitely_digital,status:online payment,41401,2.0,2.0,4.0,4.0,0.0,0.0
4,0,52201,Return to home,"I'm walking back home in the bright sunshine, the cool temperature making my leisurely stroll feel refreshing, despite the lingering uncertainty from a recent app payment issue that keeps me a bit on edge, even though nothing else seems out of the ordinary today.",,payment,medium,definitely_digital,status:app payment issue,52201,0.0,0.0,6.0,6.0,0.0,0.0
1,0,66601,Perform light stretching or relaxation exercises,"I'm sitting on a park bench, the sun warm on my back, feeling a twinge of stress as I try to navigate my phone for a community app without much success due to the tiny text and tricky captcha, hoping I can find a calming exercise to help me unwind.",,captcha,medium,definitely_digital,status:community app,66601,2.0,2.0,4.0,4.0,0.0,0.0
4,1,36001,Choose the most convenient shopping method (online or in-store),"I'm comfortably perusing my phone, feeling a sense of relief that the day has been uneventful, and contemplating the most straightforward way to shop, whether it's through my preferred apps or heading to a local store.",online,,high,definitely_digital,action:online or in-store,136001,2.0,2.0,4.0,4.0,0.0,0.0
1,1,50401,Make payment for the purchased items,"I'm taking a leisurely walk through the park, enjoying the sunny weather, and contemplating whether to make a purchase. My heart is both light and heavy, the lightness from the peaceful day and the heavier from the lingering fear and uncertainty.",payment,,high,definitely_digital,action:make payment,150401,1.0,1.0,5.0,5.0,0.0,0.0
5,4,37801,Check any pending online bill payment,"I'm sipping my morning tea, my spirits are a blend of tranquility and a touch of melancholy. I'm about to check my online bills, a task that can be a bit daunting with all the technical hurdles, but it's part of the daily rhythm I've come to accept.",online|payment,,high,definitely_digital,action:online bill payment,437801,0.0,0.0,6.0,6.0,0.0,0.0
6,4,46801,Navigate to the nearest shopping center using preferred navigation app,"I'm exploring the sunny afternoon, my mind light and curious, as I use my navigation app to find the closest shopping center. Even though today has been relatively quiet, I'm content, finding solace in the simple act of planning a small outing.",app|navigation app,,high,definitely_digital,action:navigation app,446801,1.0,1.0,5.0,5.0,0.0,0.0
1,5,10801,Review available shopping options online,"I'm sitting comfortably in my cozy living room, the sun streaming in, feeling a serene calm despite the day's tranquility being a rare treat. My fingers hover over the old phone screen, scanning for online shopping deals, but my cautious side keeps a watchful eye out for any potential scams.",online,,high,definitely_digital,action:options online,510801,0.0,0.0,6.0,6.0,0.0,0.0
4,5,41401,Make the purchases and pay at the checkout,"As I navigate the sunny afternoon with its warm 23C embrace, I find myself contently perusing the straightforward pages of my shopping app, my mind at peace with the day's tranquility and the simplicity of my tasks.",pay,,high,definitely_digital,action:pay at the checkout,541401,0.0,0.0,6.0,6.0,0.0,0.0
