agent_id,day,t,action,status_text_clean,review_label,review_confidence,scenario_guess,scenario_hit_evidence,friction_evidence,incidental_evidence,scene_analysis_zh
1,0,28801.0,Use a shopping app to locate deals and coupons,"I'm taking a leisurely stroll in the park, the sun shining warmly on me, and I'm reaching for my phone to check for any deals or coupons I might have missed before heading to the store. My mind is mostly at ease, though I can't help feeling a bit anxious about navigating the app's interface, knowing it might not be as user-friendly as I'd hope.",definitely_digital_missed,high,ecommerce_order_flow,"ecommerce_order_flow:shopping app,coupons,deals",anxious,,这条的主任务本身就是数字操作（偏ecommerce_order_flow），不是背景提及；按语义应进 attempt。
3,0,41401.0,Enjoy the meal alone as needed,"I am sitting alone in the comfortable chair at home, feeling a bit distressed because the online payment system keeps giving me a tough time. The sunny weather and moderate temperature outside don't seem to lift my spirits, as I'm too worried about using technology.",definitely_digital_missed,high,payment_transfer,"payment_transfer:online payment,payment system",worried,,这条的主任务本身就是数字操作（偏payment_transfer），不是背景提及；按语义应进 attempt。
3,0,45001.0,Reflect on the meal and feel satisfied,"I'm sitting in my cozy living room, the sun warming my face through the window. I feel a bit anxious today, especially since I'm struggling to figure out my online banking on my own due to the fear from that past scam call.",probably_digital_missed,medium,payment_transfer,payment_transfer:online banking | notification_risk_interrupt:scam,"anxious, fear, struggling",,状态里出现了较明确数字办理情境（偏payment_transfer），但动作主轴不完全是数字任务，属于疑似漏进 attempt。
1,0,66601.0,Perform light stretching or relaxation exercises,"I'm sitting on a park bench, the sun warm on my back, feeling a twinge of stress as I try to navigate my phone for a community app without much success due to the tiny text and tricky captcha, hoping I can find a calming exercise to help me unwind.",probably_digital_missed,medium,login_auth_security,login_auth_security:captcha,"stress, tiny text, tricky",,状态里出现了较明确数字办理情境（偏login_auth_security），但动作主轴不完全是数字任务，属于疑似漏进 attempt。
1,1,46801.0,Exit the home and go to the nearest shopping center,"I'm making my way to the nearest shopping center, the sun is shining, and the gentle warmth makes me feel a little happier, though I can't shake off the lingering fear of being tricked by too-good-to-be-true deals.",probably_digital_missed,medium,ecommerce_order_flow,ecommerce_order_flow:deals,fear,,状态里出现了较明确数字办理情境（偏ecommerce_order_flow），但动作主轴不完全是数字任务，属于疑似漏进 attempt。
1,2,46801.0,Wash the dishes after eating,"Browsing the community chat group on my old phone, I'm struck by the serene calm of a sunny afternoon, despite the mild unease caused by my anxiety over the small text and complicated screens. After the meal, I plan to wash the dishes, enjoying the comfort of familiarity and routine.",probably_digital_missed,medium,social_contact_coordination,"social_contact_coordination:community chat,chat group","anxiety, small text",,状态里出现了较明确数字办理情境（偏social_contact_coordination），但动作主轴不完全是数字任务，属于疑似漏进 attempt。
5,4,37801.0,Check any pending online bill payment,"I'm sipping my morning tea, my spirits are a blend of tranquility and a touch of melancholy. I'm about to check my online bills, a task that can be a bit daunting with all the technical hurdles, but it's part of the daily rhythm I've come to accept.",definitely_digital_missed,high,payment_transfer,"payment_transfer:online bill,bill payment",,,这条的主任务本身就是数字操作（偏payment_transfer），不是背景提及；按语义应进 attempt。
6,4,46801.0,Navigate to the nearest shopping center using preferred navigation app,"I'm exploring the sunny afternoon, my mind light and curious, as I use my navigation app to find the closest shopping center. Even though today has been relatively quiet, I'm content, finding solace in the simple act of planning a small outing.",probably_digital_missed,medium,ride_hailing,ride_hailing:navigation app,,,状态里出现了较明确数字办理情境（偏ride_hailing），但动作主轴不完全是数字任务，属于疑似漏进 attempt。
4,4,50401.0,Travel to the selected shopping destination,"As I step out into the sunny afternoon, I feel a mix of calm and gratitude, knowing that today has been relatively incident-free and simple. My mind is set on a peaceful mission: to navigate the familiar world of online shopping from a location I cannot yet see.",probably_digital_missed,medium,ecommerce_order_flow,ecommerce_order_flow:online shopping,cannot,,状态里出现了较明确数字办理情境（偏ecommerce_order_flow），但动作主轴不完全是数字任务，属于疑似漏进 attempt。
1,5,10801.0,Review available shopping options online,"I'm sitting comfortably in my cozy living room, the sun streaming in, feeling a serene calm despite the day's tranquility being a rare treat. My fingers hover over the old phone screen, scanning for online shopping deals, but my cautious side keeps a watchful eye out for any potential scams.",probably_digital_missed,medium,ecommerce_order_flow,"ecommerce_order_flow:online shopping,deals | notification_risk_interrupt:scams",,,状态里出现了较明确数字办理情境（偏ecommerce_order_flow），但动作主轴不完全是数字任务，属于疑似漏进 attempt。
