agent_id,day,t,scenario,outcome,message,roll,decision_source,decision_mode,alpha,llm_confidence,p_negative_interval,p_positive_interval,scenario_entry_reason,scenario_aligned,status_gate_attempted,status_gate_matched,status_gate_reason,status_gate_anchor_hit,digital_exposure,digital_exposure_from_action,digital_exposure_from_status,digital_exposure_from_intention,digital_exposure_from_signal,always_emit_enabled,always_emit_forced,always_emit_outcome,step_type,step_intention,step_outcome,llm_status,llm_calls_for_agent
1,0,23401,payment_transfer,negative,你在支付/转账时遇到诱导选项，差点误付，心里很不踏实。,0.005317952346749349,hybrid,hybrid,0.30527451418540696,0.41,0.009757572242539885,0.002187198596094437,matched,True,False,False,not_applicable,False,True,True,True,True,False,True,True,,economy,Assess daily needs and create a shopping list,success,ok,1
2,0,23401,app_update_permission,negative,你在应用更新与权限确认时被多次弹窗打断，反复设置后仍无法继续。,0.0063931673995793505,hybrid,hybrid,0.30527451418540696,0.41,0.007645963499986321,0.003197212748293363,matched,True,False,False,not_applicable,False,True,True,True,True,False,True,True,,other,Check current shopping list and update if necessary,success,ok,1
3,0,23401,login_captcha,negative,你在登录时被验证码和跳转卡住，反复失败后感到无助。,0.010200282887829756,hybrid,hybrid,0.30527451418540696,0.41,0.011419846115616165,0.0013819764480894911,min_stage_attempt_force,False,False,False,from_status_false,False,False,False,False,False,False,True,True,,other,Perform morning routines,success,ok,1
4,0,23401,ecommerce_order_flow,negative,你在线上购物下单时购物车和库存提示反复变化，支付前多次回退，感到疲惫。,0.0007886386615747977,hybrid,hybrid,0.30527451418540696,0.41,0.0053801697301017505,0.004650377826948712,matched,True,False,False,not_applicable,False,True,True,True,True,False,True,True,,other,Check current inventory and shopping list,success,ok,1
5,0,23401,ride_hailing,negative,你在打车时被复杂流程困住，多次验证后仍失败，心情受挫。,0.0015664649942937257,hybrid,hybrid,0.30527451418540696,0.41,0.008283752029469032,0.0030265517019256016,matched,True,False,False,not_applicable,False,True,False,False,False,True,True,True,,mobility,Determine the nearest shopping center,success,ok,1
6,0,23401,login_captcha,positive,你在登录时用语音/无障碍提示完成验证。,0.008138276333157885,hybrid,hybrid,0.30527451418540696,0.41,0.004237265596571285,0.005335107901653533,min_stage_attempt_force,False,False,False,from_status_false,False,False,False,False,False,False,True,True,,other,Assess current home environment and comfort level,success,ok,1
1,0,25201,payment_transfer,negative,你在支付/转账时遇到诱导选项，差点误付，心里很不踏实。,0.005160384027017065,hybrid,hybrid,0.30527451418540696,0.41,0.010443767347242144,0.0018887981518583001,matched,True,False,False,not_applicable,False,True,True,False,True,False,True,True,,economy,Access the digital platform for reviewing payment processes,success,ok,1
2,0,25201,info_ad_click,negative,你在信息流里误触广告，页面多次跳转，支付失败并感到焦虑。,0.0012892308992488945,hybrid,hybrid,0.30527451418540696,0.41,0.008440944166014425,0.002450146661947822,matched,True,False,False,not_applicable,False,False,False,False,False,False,True,True,,other,Set up a comfortable reading or meditation space,success,ok,1
3,0,25201,login_captcha,negative,你在登录时被验证码和跳转卡住，反复失败后感到无助。,0.0058628500281766366,hybrid,hybrid,0.3066157053355572,0.41,0.012237517462437392,0.0008050783298565503,matched,True,False,False,not_applicable,False,True,False,False,True,False,True,True,,other,Sit at the computer to access the system,success,ok,1
4,0,25201,app_update_permission,negative,你在应用更新与权限确认时被多次弹窗打断，反复设置后仍无法继续。,0.0019595078600039397,hybrid,hybrid,0.30527451418540696,0.41,0.0060501576888114614,0.004171136861025762,matched,True,False,False,not_applicable,False,False,False,False,False,False,True,True,,other,Dress appropriately for a sunny day,success,ok,1
5,0,25201,payment_transfer,negative,你在支付/转账时遇到诱导选项，差点误付，心里很不踏实。,0.0039445272509490235,hybrid,hybrid,0.30631739188994234,0.41,0.010461413183118013,0.0009002128401662637,matched,True,False,False,not_applicable,False,False,False,False,False,False,True,True,,other,Check the opening hours of the shopping center,failure,ok,1
6,0,25201,login_captcha,negative,你在登录时被验证码和跳转卡住，反复失败后感到无助。,0.004700573411136855,hybrid,hybrid,0.30527451418540696,0.41,0.0038580711326544385,0.005434476549449197,min_stage_attempt_force,False,False,False,from_status_false,False,False,False,False,False,False,True,True,,other,Prepare a light breakfast or snack to fuel the day,success,ok,1
1,0,27001,payment_transfer,negative,你在支付/转账时遇到诱导选项，差点误付，心里很不踏实。,0.0022455464394975375,hybrid,hybrid,0.30592123619947137,0.41,0.011307122038362408,0.0010884488296534964,matched,True,False,False,not_applicable,False,True,True,False,True,False,True,True,,economy,Navigate to the section for payment process review,success,ok,1
2,0,27001,app_update_permission,positive,你在应用更新与权限确认时看到清晰引导，一次完成设置并继续操作。,0.012444494961429568,hybrid,hybrid,0.30527451418540696,0.41,0.009649603432433356,0.0017538524641732734,min_stage_attempt_force,False,False,False,from_status_false,False,False,False,False,False,False,True,True,,other,Begin the chosen activity,success,ok,1
3,0,27001,account_auth_security,negative,你在账号认证与安全校验时反复输入信息，验证链路中断后感到疲惫和不安。,0.0011089748309820444,hybrid,hybrid,0.3073817524610703,0.41,0.012971831699062889,0.000480782762404616,min_stage_attempt_force,False,False,False,from_status_false,False,True,False,False,True,False,True,True,,other,Identify the system reboot button or option,success,ok,1
4,0,27001,ride_hailing,positive,你在打车时开启适老化模式，一步完成叫车。,0.009139938924489274,hybrid,hybrid,0.30527451418540696,0.41,0.006725842410608315,0.0036879426643236434,matched,True,False,False,not_applicable,False,True,False,False,False,True,True,True,,mobility,Plan a route to the nearest shopping center considering the weather and time,success,ok,1
5,0,27001,info_ad_click,negative,你在信息流里误触广告，页面多次跳转，支付失败并感到焦虑。,0.0017236322574043805,hybrid,hybrid,0.30527451418540696,0.41,0.009924009730462653,0.0016759047624946223,matched,True,False,False,not_applicable,False,False,False,False,False,False,True,True,,other,Begin the day with a leisurely routine,success,ok,1
6,0,27001,login_captcha,positive,你在登录时用语音/无障碍提示完成验证。,0.00917390293417412,hybrid,hybrid,0.30527451418540696,0.41,0.004509076865827438,0.004967131170278055,min_stage_attempt_force,False,False,False,from_status_false,False,False,False,False,False,False,True,True,,other,Begin a gentle stretching routine to ease body and mind,success,ok,1
1,0,28801,notification_risk_interrupt,positive,你在通知与风险提醒中快速识别重点并处理得当，顺利回到原任务流程。,0.012231142160043094,hybrid,hybrid,0.3072494802572055,0.41,0.01209764341951202,0.0005285588904691067,matched,True,False,False,not_applicable,False,True,True,True,True,False,True,True,,economy,Check for the latest security updates and notifications,success,ok,1
2,0,28801,app_update_permission,negative,你在应用更新与权限确认时被多次弹窗打断，反复设置后仍无法继续。,0.0021110130438319425,hybrid,hybrid,0.30527451418540696,0.41,0.00915128029825815,0.0021085254564900137,min_stage_attempt_force,False,False,False,from_status_false,False,False,False,False,False,False,True,True,,other,Begin the chosen activity,success,ok,1
3,0,28801,account_auth_security,negative,你在账号认证与安全校验时反复输入信息，验证链路中断后感到疲惫和不安。,0.006355927767003775,hybrid,hybrid,0.3081391678766884,0.41,0.013404306229441533,0.0001543514438132813,min_stage_attempt_force,False,False,False,from_status_false,False,True,False,False,True,False,True,True,,other,Press the system reboot button or select the reboot option,success,ok,1
4,0,28801,ride_hailing,positive,你在打车时开启适老化模式，一步完成叫车。,0.008721331124555112,hybrid,hybrid,0.30527451418540696,0.41,0.006326093416807651,0.0037972515078231986,matched,True,False,False,not_applicable,False,True,True,False,True,True,True,True,,mobility,Leave home and travel to the shopping center,success,ok,1
5,0,28801,info_ad_click,negative,你在信息流里误触广告，页面多次跳转，支付失败并感到焦虑。,0.002881617084013946,hybrid,hybrid,0.30599788604324674,0.41,0.010928163128353,0.001046442153613921,matched,True,False,False,not_applicable,False,False,False,False,False,False,True,True,,other,Engage in light reading or a hobby,success,ok,1
6,0,28801,info_ad_click,positive,你在信息流里看到清晰提示，成功避开广告跳转并顺利完成操作。,0.011276653935695918,hybrid,hybrid,0.30527451418540696,0.41,0.004476273894012932,0.005148940099403717,matched,True,False,False,not_applicable,False,False,False,False,False,False,True,True,,other,Engage in a hobby or read a book to relax,success,ok,1
1,0,30601,payment_transfer,negative,你在支付/转账时遇到诱导选项，差点误付，心里很不踏实。,0.005722797553214236,hybrid,hybrid,0.3063736510741956,0.41,0.0115748019674247,0.000898063000998447,matched,True,False,False,not_applicable,False,True,True,True,True,False,True,True,,economy,Review the current payment process settings and identify any areas of concern,success,ok,1
4,0,30601,payment_transfer,negative,你在支付/转账时遇到诱导选项，差点误付，心里很不踏实。,0.005968072296635746,hybrid,hybrid,0.30527451418540696,0.41,0.005739427802994745,0.004391918234585401,matched,True,False,False,not_applicable,False,False,False,False,False,False,True,True,,economy,Shop for the items on the list,success,ok,1
5,0,30601,info_ad_click,negative,你在信息流里误触广告，页面多次跳转，支付失败并感到焦虑。,0.008138515684363029,hybrid,hybrid,0.3070791570116074,0.41,0.01156688056550968,0.0005949670313346743,matched,True,False,False,not_applicable,False,False,False,False,False,False,True,True,,other,Engage in light reading or a hobby,success,cache_hit,0
