attempt_uid,agent_id,day,t,step,stage_name,stage_index,intention,need,step_type,step_intention,status_text,step_eval_text,step_outcome,aligned_action,aligned_agent_status_status,aligned_action_snapshot_day,aligned_action_snapshot_t,aligned_join_mode,aligned_join_lag_seconds,digital_exposure,digital_from_action,digital_from_status,digital_from_intention,digital_from_signal,digital_task_hint,digital_task_hint_need,digital_task_hint_pending,digital_task_adopted,scenario,scenario_entry_reason,scenario_match_source,llm_match_status,llm_match_confidence,llm_match_reason,emitted,outcome,roll,p_negative_interval,p_positive_interval,total_event_prob,hazard_p_total,llm_status,match_pipeline_mode,digital_gate_source,digital_gate_status,digital_gate_confidence,digital_gate_reason,scenario_aligned,input_source,status_summary_text,plan_index,step_failure_pressure,step_success_support,step_consumed_time,step_effort_bucket,decision_mode,prob_model,llm_calls_this_step,llm_scenario_calls_this_step,llm_calls_for_agent,fallback_reason
fbef2127-0023401-001-0001,1,0,23401.0,23401,steady,0,Review shopping list and prioritize items,safe,other,Review shopping list and prioritize items,1,Finished executing Review shopping list and prioritize items,success,Review shopping list and prioritize items,"I'm starting my day feeling a sense of relief, quietly sipping on a cup of tea while reviewing my shopping list under the warm sun, glad that no unsettling notifications have popped up on my trusty old phone yet.",0,21601.0,prev_snapshot,1800.0,1,1,1,1,0,,,0,0,digital_general,llm_primary,llm_primary,ok,0.9,Step intention matches digital activity and no specific scenario evidence found.,1,positive,0.19328662873109104,0.0895631748784963,0.2747727083544098,0.3643358832329061,0.3643358832329061,ok,llm_unified_primary,llm_primary,ok,0.8,Step intention matches digital activity and no specific scenario evidence found.,0,runtime_snapshot,"I'm starting my day feeling a sense of relief, quietly sipping on a cup of tea while reviewing my shopping list under the warm sun, glad that no unsettling notifications have popped up on my trusty old phone yet.",0,0.0,1.0,30.0,low,hybrid,attempt_hazard,2,1,1,
fbef2127-0023401-004-0001,4,0,23401.0,23401,steady,0,Review shopping list based on need,safe,other,Review shopping list based on need,1,Finished executing Review shopping list based on need,success,Review shopping list based on need,"I'm reviewing my shopping list over a coffee, feeling a sense of relief as I navigate through the simple, straightforward app, my mind at ease despite occasional doubts about the security measures.",0,21601.0,prev_snapshot,1800.0,1,1,1,1,0,,,0,0,digital_general,llm_primary,llm_primary,ok,0.8,"Step intention matches review shopping list, high digital experience, low vision limit, and low past fraud indicate general digital scenario.",0,no_event,0.4452117515347297,0.03177052044656989,0.16534576550987357,0.24639535744555432,0.19711628595644345,ok,llm_unified_primary,llm_primary,ok,0.9,"Step intention matches review shopping list, high digital experience, low vision limit, and low past fraud indicate general digital scenario.",0,runtime_snapshot,"I'm reviewing my shopping list over a coffee, feeling a sense of relief as I navigate through the simple, straightforward app, my mind at ease despite occasional doubts about the security measures.",0,0.0,1.25,15.0,low,hybrid,attempt_hazard,4,2,1,
fbef2127-0027001-003-0001,3,0,27001.0,27001,steady,0,Check in with family members via phone call,safe,social,Check in with family members via phone call,1,Could not find target for message,failure,Check in with family members via phone call,"I'm starting my day at home, the sun is shining outside, and I feel a sense of relief as I plan to make a phone call to my family, knowing I can rely on their help with any online issues. It's a peaceful morning, and nothing seems particularly good or bad.",0,25201.0,prev_snapshot,1800.0,1,1,1,1,0,,,0,0,social_contact_coordination,matched,rule_fallback,low_confidence,0.5,"step_type: social, step_intention: Check in with family members via phone call, step_outcome: failure, step_eval_text: Could not find target for message",1,negative,0.43015403648999195,0.42925172417854485,0.10310970479269047,0.6654517862140441,0.5323614289712353,ok,llm_unified_primary,llm_primary,low_confidence,0.5,"step_type: social, step_intention: Check in with family members via phone call, step_outcome: failure, step_eval_text: Could not find target for message",1,runtime_snapshot,"I'm starting my day at home, the sun is shining outside, and I feel a sense of relief as I plan to make a phone call to my family, knowing I can rely on their help with any online issues. It's a peaceful morning, and nothing seems particula",2,1.0,0.0,5.0,low,hybrid,attempt_hazard,2,1,1,
fbef2127-0027001-005-0001,5,0,27001.0,27001,steady,0,Prepare a shopping list,safe,other,Prepare a shopping list,1,Finished executing Prepare a shopping list,success,Prepare a shopping list,"I'm sipping my morning coffee, feeling a sense of relief as I sit down with a clear mind, ready to tackle my day with a shopping list on my mind. The sun is shining, and I'm enjoying the warmth of the 23C weather, feeling content and at peace.",0,25201.0,prev_snapshot,1800.0,1,1,1,1,0,在手机上完成线上缴费并确认支付结果,finance,1,0,digital_general,llm_primary,llm_primary,ok,0.9,"step_type matches 'other' and step_intention matches 'Prepare a shopping list', indicating a general digital interaction",1,positive,0.21174775146543334,0.06918404949282146,0.24314192768682708,0.3904074714745607,0.31232597717964855,ok,llm_unified_primary,llm_primary,ok,0.8,"step_type matches 'other' and step_intention matches 'Prepare a shopping list', indicating a general digital interaction",0,runtime_snapshot,"I'm sipping my morning coffee, feeling a sense of relief as I sit down with a clear mind, ready to tackle my day with a shopping list on my mind. The sun is shining, and I'm enjoying the warmth of the 23C weather, feeling content and at pea",2,0.0,1.0,30.0,low,hybrid,attempt_hazard,4,2,1,
fbef2127-0028801-002-0001,2,0,28801.0,28801,steady,0,Prepare shopping list,safe,other,Prepare shopping list,1,Finished executing Prepare shopping list,success,Prepare shopping list,"I'm sipping on my morning coffee, feeling a sense of relief as I start to mentally prepare my shopping list for the day. With the sun shining and the mild temperature, I'm in a good mood despite the usual frustrations with tech's complexities.",0,27001.0,prev_snapshot,1800.0,1,1,1,1,0,登录常用服务并完成验证码/实名核验,safe,1,1,digital_general,llm_primary,llm_primary,ok,0.9,"step_type matches 'other' and step_intention matches 'Prepare shopping list', indicating a general digital interaction.",0,no_event,0.6647911135768234,0.059648526151094755,0.23222795175759078,0.3648455973858569,0.29187647790868554,ok,llm_unified_primary,llm_primary,ok,0.8,"step_type matches 'other' and step_intention matches 'Prepare shopping list', indicating a general digital interaction.",0,runtime_snapshot,"I'm sipping on my morning coffee, feeling a sense of relief as I start to mentally prepare my shopping list for the day. With the sun shining and the mild temperature, I'm in a good mood despite the usual frustrations with tech's complexiti",3,0.0,1.0,30.0,low,hybrid,attempt_hazard,2,1,1,
fbef2127-0030601-001-0002,1,0,30601.0,30601,steady,0,Use a shopping app to locate deals and coupons,safe,economy,Use a shopping app to locate deals and coupons,1,Failed to Use a shopping app to locate deals and coupons,failure,Use a shopping app to locate deals and coupons,"I'm taking a leisurely stroll in the park, the sun shining warmly on me, and I'm reaching for my phone to check for any deals or coupons I might have missed before heading to the store. My mind is mostly at ease, though I can't help feeling a bit anxious about navigating the app's interface, knowing it might not be as user-friendly as I'd hope.",0,28801.0,prev_snapshot,1800.0,1,1,1,1,0,,,0,0,payment_transfer,matched,rule_fallback,low_confidence,0.3,"step_type indicates economy, step_intention matches intention, step_outcome is failure, and status_text suggests user-friendly interface concern.",1,negative,0.345514184203783,0.3986074841938232,0.11278601873799246,0.5113935029318156,0.5113935029318156,ok,llm_unified_primary,llm_primary,low_confidence,0.5,"step_type indicates economy, step_intention matches intention, step_outcome is failure, and status_text suggests user-friendly interface concern.",1,runtime_snapshot,"I'm taking a leisurely stroll in the park, the sun shining warmly on me, and I'm reaching for my phone to check for any deals or coupons I might have missed before heading to the store. My mind is mostly at ease, though I can't help feeling",4,1.0,0.0,18.0,low,hybrid,attempt_hazard,2,1,1,
fbef2127-0032401-001-0003,1,0,32401.0,32401,steady,0,Access the financial account login page,Check and ensure the payment transaction is secure to prevent future mistakes.,economy,Access the financial account login page,1,Finished executing Access the financial account login page,success,Access the financial account login page,"I'm at home, feeling a bit anxious as I try to access my financial account login page, the bright sun outside and the warmth at 23°C make me uncomfortable with the small text and multiple steps needed, and I'm grateful my family is nearby to help me navigate through the process.",0,30601.0,prev_snapshot,1800.0,1,1,1,1,0,,,0,0,account_auth_security,llm_primary,llm_primary,ok,0.9,"step_type matches 'economy', intention matches 'Access the financial account login page', and status_text indicates success.",0,no_event,0.4046746766929902,0.08122552800024505,0.28772353251150207,0.23981688933263562,0.36894906051174714,ok,llm_unified_primary,llm_primary,ok,0.8,"step_type matches 'economy', intention matches 'Access the financial account login page', and status_text indicates success.",1,runtime_snapshot,"I'm at home, feeling a bit anxious as I try to access my financial account login page, the bright sun outside and the warmth at 23°C make me uncomfortable with the small text and multiple steps needed, and I'm grateful my family is nearby t",0,0.0,1.25,5.0,low,hybrid,attempt_hazard,2,1,1,
fbef2127-0034201-001-0004,1,0,34201.0,34201,steady,0,Navigate to the account settings or security section,Check and ensure the payment transaction is secure to prevent future mistakes.,economy,Navigate to the account settings or security section,1,"Selected destination: ('图书馆自习室', 700006359)",success,Navigate to the account settings or security section,"I'm sitting in the living room, the morning sunlight is warm, and I'm feeling a bit anxious as I try to navigate to the security settings on my phone to set up two-factor authentication for my financial accounts. It's a bit challenging with my aging eyes, and I'm hoping not to encounter any complicated steps.",0,32401.0,prev_snapshot,1800.0,1,1,0,1,0,,,0,0,account_auth_security,llm_primary,llm_primary,ok,0.9,"step_signal indicates economy step intention matches scenario, and user intention is to ensure payment transaction security",1,positive,0.18115716197401488,0.08122552800024505,0.28772353251150207,0.23981688933263562,0.36894906051174714,ok,llm_unified_primary,llm_primary,ok,0.8,"step_signal indicates economy step intention matches scenario, and user intention is to ensure payment transaction security",1,runtime_snapshot,"I'm sitting in the living room, the morning sunlight is warm, and I'm feeling a bit anxious as I try to navigate to the security settings on my phone to set up two-factor authentication for my financial accounts. It's a bit challenging with",1,0.0,1.25,5.0,low,hybrid,attempt_hazard,2,1,1,
fbef2127-0036001-001-0005,1,0,36001.0,36001,steady,0,Select the option to enable two-factor authentication,Check and ensure the payment transaction is secure to prevent future mistakes.,economy,Select the option to enable two-factor authentication,1,Finished executing Select the option to enable two-factor authentication,success,Select the option to enable two-factor authentication,"As the sun shines brightly and warms the air at 23C, I'm sitting in my cozy community center, my eyes struggling a bit with the small text, but I'm determined to enable two-factor authentication on my accounts, despite the anxiety that creeps in when I see those complex steps.",0,34201.0,prev_snapshot,1800.0,1,1,1,1,0,,,0,0,account_auth_security,llm_primary,llm_primary,ok,0.9,step_type matches account_auth_security and intention is to enable two-factor authentication,1,positive,0.11887206640710046,0.07676885131147167,0.2765415660321265,0.2296517712733388,0.35331041734359814,ok,llm_unified_primary,llm_primary,ok,0.8,step_type matches account_auth_security and intention is to enable two-factor authentication,1,runtime_snapshot,"As the sun shines brightly and warms the air at 23C, I'm sitting in my cozy community center, my eyes struggling a bit with the small text, but I'm determined to enable two-factor authentication on my accounts, despite the anxiety that cree",2,0.0,1.25,5.0,low,hybrid,attempt_hazard,2,1,1,
fbef2127-0036001-006-0001,6,0,36001.0,36001,steady,0,Review shopping list,safe,other,Review shopping list,1,I finished: Review shopping list,success,Review shopping list,"I'm leisurely reviewing my shopping list in the morning sun, feeling content that there's nothing urgent on my mind, and my mood is as bright as the day outside.",0,34201.0,prev_snapshot,1800.0,1,1,1,1,0,登录常用服务并完成验证码/实名核验,safe,1,1,digital_general,llm_primary,llm_primary,ok,0.8,Step intention matches review shopping list and digital experience is high,0,no_event,0.6098713261967809,0.05650884575978619,0.1512444176329515,0.2596915792409221,0.20775326339273767,ok,llm_unified_primary,llm_primary,ok,0.9,Step intention matches review shopping list and digital experience is high,0,runtime_snapshot,"I'm leisurely reviewing my shopping list in the morning sun, feeling content that there's nothing urgent on my mind, and my mood is as bright as the day outside.",0,0.5,1.0,97.0,high,hybrid,attempt_hazard,4,2,1,
