record_type,granularity,exp_id,stage_index,stage_key,day,t_local,step_abs,agent_id,row_index_within_step,scenario,outcome,message,roll,scenario_entry_reason,scenario_aligned,digital_exposure,step_type,step_intention,step_outcome,prob_model,p_negative_interval,p_positive_interval,emit_policy,emit_forced_by_policy,status_gate_reason
event,event_detail,0e9eace8-abed-417a-af98-29344b8676af,1,stage_1_events,0,23401,,1,,login_captcha,positive,语音/无障碍登录验证成功，今日计划稳中推进。,0.19328662873109104,min_stage_attempt_force,False,False,other,Plan the day's activities,success,attempt_hazard,0.10295665900914415,0.24513476323852185,natural,False,from_status_false
event,event_detail,0e9eace8-abed-417a-af98-29344b8676af,1,stage_1_events,0,23401,,3,,payment_transfer,positive,支付/转账提示明确，依据需求调整购物清单，平稳成功完成。,0.19161133819581755,matched,True,True,economy,Review shopping list based on current needs,success,attempt_hazard,0.10246782888046163,0.3168089417401467,natural,False,not_applicable
event,event_detail,0e9eace8-abed-417a-af98-29344b8676af,1,stage_1_events,0,23401,,4,,login_captcha,positive,验证成功，早晨流程稳定。,0.23882032660712982,min_stage_attempt_force,False,False,other,Assess the morning routine,success,attempt_hazard,0.04267449494366407,0.18458340734625797,natural,False,from_status_false
event,event_detail,0e9eace8-abed-417a-af98-29344b8676af,1,stage_1_events,0,23401,,6,,login_captcha,positive,登录时，语音提示验证成功，稳定流畅。,0.06289895199354012,min_stage_attempt_force,True,False,other,Check for any morning activities or tasks,success,attempt_hazard,0.031460103882005604,0.17126639326560084,natural,False,from_status_false
event,event_detail,0e9eace8-abed-417a-af98-29344b8676af,1,stage_1_events,0,25201,,2,,login_captcha,positive,登录时，轻松语音验证，享静美时光，验证成功！,0.22911748605196947,min_stage_attempt_force,False,False,other,Enjoy a quiet morning coffee or tea,success,attempt_hazard,0.05858972447740425,0.2281057485806705,natural,False,from_status_false
event,event_detail,0e9eace8-abed-417a-af98-29344b8676af,1,stage_1_events,0,25201,,5,,ecommerce_order_flow,negative,购物车库存提示波动，重复操作累感不爱。,0.006518601416265479,min_stage_attempt_force,True,True,other,Check and update shopping list based on needs,success,attempt_hazard,0.059107147965948785,0.24255460591729278,natural,False,ambiguous
event,event_detail,0e9eace8-abed-417a-af98-29344b8676af,1,stage_1_events,0,28801,,2,,login_captcha,positive,登录验证，语音提示成功完成。,0.166330594557909,min_stage_attempt_force,False,False,other,Read or engage in a hobby,success,attempt_hazard,0.058153348284957225,0.17269390480730054,natural,False,from_status_false
event,event_detail,0e9eace8-abed-417a-af98-29344b8676af,1,stage_1_events,0,28801,,6,,login_captcha,negative,登录遇阻，验证难题，轻松晨间习惯助你轻松应对。,0.005947723639619706,min_stage_attempt_force,False,False,other,"Enjoy a light morning routine, such as reading or meditating",success,attempt_hazard,0.034929981328360525,0.12428375399061632,natural,False,from_status_false
event,event_detail,0e9eace8-abed-417a-af98-29344b8676af,1,stage_1_events,0,32401,,1,,social_contact_coordination,negative,社交联系协调遇挫，好友互动验证失败，焦虑升级。,0.09062902093019809,matched,True,True,social,Identify available friends for contact,failure,attempt_hazard,0.29913176503666805,0.08755581549112618,natural,False,not_applicable
event,event_detail,0e9eace8-abed-417a-af98-29344b8676af,1,stage_1_events,0,36001,,5,,payment_transfer,negative,支付转账时，遇诱导误付风险，调整购物清单后成功规避。,0.02378181701439186,matched,True,True,economy,Adjust the shopping list based on findings,success,attempt_hazard,0.05910436084833607,0.20276009118829944,natural,False,not_applicable
event,event_detail,0e9eace8-abed-417a-af98-29344b8676af,1,stage_1_events,0,43201,,3,,payment_transfer,negative,支付转账时，遭遇误导选项，险些误操作，心绪不宁。,0.10865648288413654,matched,True,True,economy,Select a food option to purchase or consume,failure,attempt_hazard,0.3616623284595777,0.0883376715404223,natural,False,not_applicable
event,event_detail,0e9eace8-abed-417a-af98-29344b8676af,1,stage_1_events,0,45001,,3,,payment_transfer,positive,支付/转账提示清晰，成功完成，流程稳健。,0.13697836576264455,matched,True,True,economy,Identify the source of confusion in the payment transfer process,success,attempt_hazard,0.09596415819818714,0.2511576797477909,natural,False,not_applicable
event,event_detail,0e9eace8-abed-417a-af98-29344b8676af,1,stage_1_events,0,55801,,3,,payment_transfer,negative,支付转账时误触诱导选项，心慌意乱，幸免于难。,0.23178200425645945,matched,True,True,economy,Place an order or select food to be eaten,failure,attempt_hazard,0.3625055932652794,0.08749440673472055,natural,False,no_anchor
event,event_detail,0e9eace8-abed-417a-af98-29344b8676af,1,stage_1_events,1,7201,,1,,ride_hailing,positive,打车启适老化，便捷叫车一步到位。,0.11015138093539045,matched,True,True,mobility,"Stay home, as it is convenient and cost-effective",success,attempt_hazard,0.06421953326852795,0.20153356293510047,natural,False,not_applicable
no_event,step_aggregated_expanded,0e9eace8-abed-417a-af98-29344b8676af,1,stage_1_summary,,,23401,,1,,no_event,,,,,,,,,,,,,,
no_event,step_aggregated_expanded,0e9eace8-abed-417a-af98-29344b8676af,1,stage_1_summary,,,23401,,2,,no_event,,,,,,,,,,,,,,
no_event,step_aggregated_expanded,0e9eace8-abed-417a-af98-29344b8676af,1,stage_1_summary,,,25201,,1,,no_event,,,,,,,,,,,,,,
no_event,step_aggregated_expanded,0e9eace8-abed-417a-af98-29344b8676af,1,stage_1_summary,,,25201,,2,,no_event,,,,,,,,,,,,,,
no_event,step_aggregated_expanded,0e9eace8-abed-417a-af98-29344b8676af,1,stage_1_summary,,,25201,,3,,no_event,,,,,,,,,,,,,,
no_event,step_aggregated_expanded,0e9eace8-abed-417a-af98-29344b8676af,1,stage_1_summary,,,25201,,4,,no_event,,,,,,,,,,,,,,
no_event,step_aggregated_expanded,0e9eace8-abed-417a-af98-29344b8676af,1,stage_1_summary,,,27001,,1,,no_event,,,,,,,,,,,,,,
no_event,step_aggregated_expanded,0e9eace8-abed-417a-af98-29344b8676af,1,stage_1_summary,,,27001,,2,,no_event,,,,,,,,,,,,,,
no_event,step_aggregated_expanded,0e9eace8-abed-417a-af98-29344b8676af,1,stage_1_summary,,,27001,,3,,no_event,,,,,,,,,,,,,,
no_event,step_aggregated_expanded,0e9eace8-abed-417a-af98-29344b8676af,1,stage_1_summary,,,27001,,4,,no_event,,,,,,,,,,,,,,
no_event,step_aggregated_expanded,0e9eace8-abed-417a-af98-29344b8676af,1,stage_1_summary,,,27001,,5,,no_event,,,,,,,,,,,,,,
no_event,step_aggregated_expanded,0e9eace8-abed-417a-af98-29344b8676af,1,stage_1_summary,,,27001,,6,,no_event,,,,,,,,,,,,,,
no_event,step_aggregated_expanded,0e9eace8-abed-417a-af98-29344b8676af,1,stage_1_summary,,,28801,,1,,no_event,,,,,,,,,,,,,,
no_event,step_aggregated_expanded,0e9eace8-abed-417a-af98-29344b8676af,1,stage_1_summary,,,28801,,2,,no_event,,,,,,,,,,,,,,
no_event,step_aggregated_expanded,0e9eace8-abed-417a-af98-29344b8676af,1,stage_1_summary,,,28801,,3,,no_event,,,,,,,,,,,,,,
no_event,step_aggregated_expanded,0e9eace8-abed-417a-af98-29344b8676af,1,stage_1_summary,,,28801,,4,,no_event,,,,,,,,,,,,,,
no_event,step_aggregated_expanded,0e9eace8-abed-417a-af98-29344b8676af,1,stage_1_summary,,,30601,,1,,no_event,,,,,,,,,,,,,,
no_event,step_aggregated_expanded,0e9eace8-abed-417a-af98-29344b8676af,1,stage_1_summary,,,32401,,1,,no_event,,,,,,,,,,,,,,
no_event,step_aggregated_expanded,0e9eace8-abed-417a-af98-29344b8676af,1,stage_1_summary,,,34201,,1,,no_event,,,,,,,,,,,,,,
no_event,step_aggregated_expanded,0e9eace8-abed-417a-af98-29344b8676af,1,stage_1_summary,,,36001,,1,,no_event,,,,,,,,,,,,,,
no_event,step_aggregated_expanded,0e9eace8-abed-417a-af98-29344b8676af,1,stage_1_summary,,,36001,,2,,no_event,,,,,,,,,,,,,,
no_event,step_aggregated_expanded,0e9eace8-abed-417a-af98-29344b8676af,1,stage_1_summary,,,39601,,1,,no_event,,,,,,,,,,,,,,
no_event,step_aggregated_expanded,0e9eace8-abed-417a-af98-29344b8676af,1,stage_1_summary,,,46801,,1,,no_event,,,,,,,,,,,,,,
no_event,step_aggregated_expanded,0e9eace8-abed-417a-af98-29344b8676af,1,stage_1_summary,,,48601,,1,,no_event,,,,,,,,,,,,,,
no_event,step_aggregated_expanded,0e9eace8-abed-417a-af98-29344b8676af,1,stage_1_summary,,,50401,,1,,no_event,,,,,,,,,,,,,,
no_event,step_aggregated_expanded,0e9eace8-abed-417a-af98-29344b8676af,1,stage_1_summary,,,52201,,1,,no_event,,,,,,,,,,,,,,
no_event,step_aggregated_expanded,0e9eace8-abed-417a-af98-29344b8676af,1,stage_1_summary,,,52201,,2,,no_event,,,,,,,,,,,,,,
no_event,step_aggregated_expanded,0e9eace8-abed-417a-af98-29344b8676af,1,stage_1_summary,,,54001,,1,,no_event,,,,,,,,,,,,,,
no_event,step_aggregated_expanded,0e9eace8-abed-417a-af98-29344b8676af,1,stage_1_summary,,,59401,,1,,no_event,,,,,,,,,,,,,,
no_event,step_aggregated_expanded,0e9eace8-abed-417a-af98-29344b8676af,1,stage_1_summary,,,63001,,1,,no_event,,,,,,,,,,,,,,
no_event,step_aggregated_expanded,0e9eace8-abed-417a-af98-29344b8676af,1,stage_1_summary,,,64801,,1,,no_event,,,,,,,,,,,,,,
no_event,step_aggregated_expanded,0e9eace8-abed-417a-af98-29344b8676af,1,stage_1_summary,,,66601,,1,,no_event,,,,,,,,,,,,,,
no_event,step_aggregated_expanded,0e9eace8-abed-417a-af98-29344b8676af,1,stage_1_summary,,,66601,,2,,no_event,,,,,,,,,,,,,,
no_event,step_aggregated_expanded,0e9eace8-abed-417a-af98-29344b8676af,1,stage_1_summary,,,75601,,1,,no_event,,,,,,,,,,,,,,
no_event,step_aggregated_expanded,0e9eace8-abed-417a-af98-29344b8676af,1,stage_1_summary,,,109001,,1,,no_event,,,,,,,,,,,,,,
no_event,step_aggregated_expanded,0e9eace8-abed-417a-af98-29344b8676af,1,stage_1_summary,,,110801,,1,,no_event,,,,,,,,,,,,,,
event,event_detail,0e9eace8-abed-417a-af98-29344b8676af,2,stage_2_events,1,23401,,6,,account_auth_security,positive,安全登录一步到位，账号安全无忧。,0.2722909805621413,min_stage_attempt_force,False,False,other,Enter sleep mode,success,attempt_hazard,0.12291232944130019,0.20406812525915355,natural,False,from_status_false
event,event_detail,0e9eace8-abed-417a-af98-29344b8676af,2,stage_2_events,1,27001,,1,,ride_hailing,positive,打车开启适老化，一键叫车惊鸿一瞥，入睡之旅顺利开启。,0.44586358576645435,min_stage_attempt_force,False,False,other,Close your eyes and drift off to sleep,success,attempt_hazard,0.21208059773453722,0.2379194022654628,natural,False,from_status_false
