action,behavior_coarse,count
Enjoy the meal,饮食相关,79
Return home from current location,出行移动,79
Clean up after eating,饮食相关,53
Lie down in bed,睡眠相关,47
Serve the meal,饮食相关,42
Prepare a comfortable sleeping environment,睡眠相关,38
Ensure a comfortable sleeping environment,睡眠相关,37
Return to home,出行移动,33
Return to home from current location,出行移动,30
Clean up after the meal,饮食相关,28
Eat the meal,饮食相关,28
Start cooking the meal,饮食相关,28
Enjoy the meal at home,饮食相关,25
Prepare the sleeping environment,睡眠相关,23
Adjust the room temperature if necessary,家居环境管理,21
Lie down in the bed,睡眠相关,21
Relax and unwind,放松与情绪调节,20
Change into comfortable sleepwear,家居环境管理,19
Ensure a comfortable sleep environment,睡眠相关,19
Prepare for bed,睡眠相关,19
Prepare the bedroom for sleep,睡眠相关,19
Relax and prepare for sleep,睡眠相关,19
Prepare a comfortable sleep environment,睡眠相关,17
Prepare a meal at home,饮食相关,17
Reflect on the meal experience,饮食相关,17
Prepare and cook the meal,饮食相关,16
Cook the meal,饮食相关,15
Relax in a comfortable position,放松与情绪调节,15
Prepare and cook a meal,饮食相关,14
Serve the cooked meal,饮食相关,14
Adjust the room temperature to a comfortable level,家居环境管理,13
Enjoy a relaxing evening with a meal at home,饮食相关,12
Prepare for sleep,睡眠相关,12
Consume the prepared meal,饮食相关,11
Engage in a calming activity,放松与情绪调节,11
Engage in a relaxing activity,放松与情绪调节,10
Enjoy the meal alone or with loved ones,饮食相关,10
Enjoy the meal in a comfortable setting,饮食相关,10
Lay down in bed,睡眠相关,10
Reflect on the meal and the day,饮食相关,10
Set the room temperature to a comfortable level,家居环境管理,10
Set the table with utensils and plates,饮食相关,10
Set up a comfortable sleeping environment,睡眠相关,10
Close your eyes and drift off to sleep,睡眠相关,9
Dress appropriately for the weather,其他,9
Get into bed,睡眠相关,9
Plan for the rest of the day,睡眠相关,9
Prepare and cook the meal at home,饮食相关,9
Prepare ingredients,饮食相关,9
Return to my residence,出行移动,9
Travel to home,出行移动,9
Unlock and enter the home,出行移动,9
Begin working on assigned tasks,工作任务,8
"Engage in a calming activity, such as reading or listening to soothing music",放松与情绪调节,8
"Engage in a calming activity, such as reading, to help relax",放松与情绪调节,8
Engage in a relaxing activity to unwind,放松与情绪调节,8
Enjoy the meal in a relaxed atmosphere,饮食相关,8
Fall asleep,睡眠相关,8
Prepare a home-cooked meal,饮食相关,8
Prepare a meal,饮食相关,8
Prepare a shopping list,购物采购,8
Prepare for cooking,饮食相关,8
Prepare ingredients and cooking utensils,饮食相关,8
Select and prepare ingredients,饮食相关,8
Serve the meal in a comfortable setting,饮食相关,8
Change into comfortable pajamas,家居环境管理,7
Cook a home-cooked meal,饮食相关,7
Cook a nutritious meal,饮食相关,7
Ensure the sleeping environment is comfortable,睡眠相关,7
Enter the bedroom,睡眠相关,7
Get into bed and lie down,睡眠相关,7
Lie down and close your eyes to initiate sleep,睡眠相关,7
Prepare ingredients and cook the meal,饮食相关,7
Prepare shopping bag and wallet,购物采购,7
Reflect on the meal and the day's tranquility,饮食相关,7
Relax and wind down,睡眠相关,7
Retire to the bedroom,睡眠相关,7
Shop for the planned items,购物采购,7
Sit down and enjoy the meal,饮食相关,7
Start the cooking process,饮食相关,7
Adjust room temperature if necessary,家居环境管理,6
Choose a suitable communication method,计划与决策,6
Determine necessary items based on daily needs,购物采购,6
Eat the prepared meal,饮食相关,6
"Engage in a calming activity, such as reading",放松与情绪调节,6
Engage in a relaxing activity such as reading or listening to music,放松与情绪调节,6
Engage in a relaxing activity to wind down,睡眠相关,6
Engage in light reading or other leisure activities,放松与情绪调节,6
Enjoy a leisurely dinner at home,饮食相关,6
Enjoy breakfast,饮食相关,6
"Enjoy the meal alone or possibly with a light, quiet activity afterward",饮食相关,6
