intention,action,agent_status_status,emitted,outcome,step_intention,action_snapshot_day,action_snapshot_t,join_mode,join_lag_seconds
查看购物清单,查看购物清单,当太阳慢慢升起，气温达到舒适的23摄氏度时，我感到一种如释重负的感觉，坐在家里，我的心情很轻松，因为没有什么好或坏的事情发生，我正在计划处理今天的购物清单。,1,正向,查看购物清单,0,21601.0,prev_snapshot,3600.0
阅读书籍或杂志,阅读书籍或杂志,此时此刻，当我坐在舒适的椅子上时，我感到一种如释重负的感觉，我的眼睛适应了从窗户透进来的早晨的阳光。我打算读一本好书或杂志，在阳光明媚的家里享受一个安静祥和的早晨。,1,正向,阅读书籍或杂志,0,25201.0,prev_snapshot,3600.0
根据库存与需求规划购物清单,根据库存与需求规划购物清单,早上 7:01，当我在晴朗的天空和温和温暖的阳光下开始新的一天时，我发现自己有一种如释重负的感觉，因为我知道没有什么特别紧迫的事情困扰着我。我现在开始计划我的购物清单，仔细考虑我的库存和需求，因为我越来越欣赏每项任务的简单性和清晰度。,0,未触发事件,根据库存与需求规划购物清单,0,25201.0,prev_snapshot,3600.0
准备一份清淡早餐,准备一份清淡早餐,我回到家，清晨的阳光明媚，我感到一种轻松的感觉，知道新的一天才刚刚开始。我打算准备一份清淡的早餐，享受开始新的一天的宁静，没有任何紧迫的问题。,1,正向,准备一份清淡早餐,0,25201.0,prev_snapshot,3600.0
根据需求确定购物清单,根据需求确定购物清单,我享受着一个悠闲的早晨，阳光温暖宜人，我有一种如释重负的感觉。我正在考虑我的购物清单，渴望让它成为一次富有成效的旅行。,0,未触发事件,根据需求确定购物清单,0,25201.0,prev_snapshot,3600.0
出门,出门,当我打算走出家门去购物、享受阳光明媚的早晨和舒适的 23 度气温时，我感到一种轻松的感觉，尽管一想到复杂的应用程序和网站可能会引起头痛，我就感到有点恼火。,0,未触发事件,出门,0,28801.0,prev_snapshot,3600.0
阅读书籍或杂志,阅读书籍或杂志,当我舒适地坐在客厅里时，阳光透过窗户照射进来，给我原本焦虑的心灵带来温暖和平静的感觉。我从一天的安静生活中得到了一点解脱，沉浸在一本好书的书页中，感激阅读的简单乐趣。,1,正向,阅读书籍或杂志,0,28801.0,prev_snapshot,3600.0
在家开始新的一天,在家开始新的一天,在宁静的阳光明媚的一天开始时，我舒适地坐在家里，双手熟练地操纵着简单的应用程序，以确保一天的日常工作顺利进行，一种轻松的感觉笼罩着我，因为我相信简单的界面和我的帐户的安全得到了很好的保护。,1,正向,在家开始新的一天,0,28801.0,prev_snapshot,3600.0
进行晨间冥想或安静反思,进行晨间冥想或安静反思,现在，我舒适地坐在家里，阳光透过窗户照进来，我的注意力集中在开始早晨的冥想上，感受到平静和满足的温和平衡。,0,未触发事件,进行晨间冥想或安静反思,0,28801.0,prev_snapshot,3600.0
准备一份清淡早餐,准备一份清淡早餐,我舒适地坐在小客厅里，沐浴在早晨的阳光下，准备一份清淡的早餐，没有任何令人不安的数字干扰，我感到如释重负，我很满意今天没有发生任何异常情况。,0,未触发事件,准备一份清淡早餐,0,32401.0,prev_snapshot,3600.0
查看手机联系人,查看手机联系人,我正在享受一个悠闲的早晨，手里拿着手机，浏览着联系人列表，当阳光透过窗户温暖地照进来时，我感到很满足。,0,未触发事件,查看手机联系人,0,32401.0,prev_snapshot,3600.0
Select a friend to call,Select a friend to call,我正在温暖的阳光下喝着茶，想着今天要和朋友联系的计划，心里很满足，心里很平静，没有任何负担。,0,未触发事件,Select a friend to call,0,36001.0,prev_snapshot,3600.0
Rest or engage in leisure activities post-meal,Rest or engage in leisure activities post-meal,我在公园里享受着宁静的午后漫步，心旷神怡，温暖的阳光沐浴在柔和的阳光下。我的身体有一种如释重负的感觉，因为我知道我的饭菜是在家里吃的，吃完饭后我可以放松并享受平静、悠闲的活动。,0,未触发事件,Rest or engage in leisure activities post-meal,0,46801.0,prev_snapshot,3600.0
Relax or engage in leisure activities after eating,Relax or engage in leisure activities after eating,在探索手机新功能一天后，我理所应当地休息一下。阳光明媚，我感到满足和放松，准备在家吃顿饭放松一下。,0,未触发事件,Relax or engage in leisure activities after eating,0,46801.0,prev_snapshot,3600.0
Rest or engage in leisure activities post-meal,Rest or engage in leisure activities post-meal,我刚刚在公园的一个安静的角落安顿下来，享受着温暖的阳光和周围的宁静。今天，我感到一种如释重负的感觉，因为我的脑子里没有任何紧急的问题，我的思想没有任何特别的担忧。,0,未触发事件,Rest or engage in leisure activities post-meal,0,50401.0,prev_snapshot,3600.0
