day,t,agent_id,stage_name,intention,need,step_type,step_intention,status_text,step_eval_text,scenario,scenario_entry_reason,emitted,outcome,scenario_aligned,digital_gate_status,digital_gate_confidence,llm_match_status,llm_match_confidence
0,25201.0,2,steady,"Check the shopping list",safe,other,"Check the shopping list",1,"Finished executing Check the shopping list",ride_hailing,llm_primary,1,positive,0,ok,0.82,ok,0.73
0,28801.0,3,steady,"Read a book or magazine",finance,other,"Read a book or magazine",1,"Finished executing Read a book or magazine",ride_hailing,llm_primary,1,positive,0,ok,0.82,ok,0.73
0,28801.0,4,steady,"Plan shopping list based on inventory and needs",safe,other,"Plan shopping list based on inventory and needs",1,"Finished executing Plan shopping list based on inventory and needs",ride_hailing,llm_primary,0,no_event,0,ok,0.82,ok,0.73
0,28801.0,5,steady,"Prepare a light breakfast",finance,other,"Prepare a light breakfast",1,"Finished executing Prepare a light breakfast",ride_hailing,llm_primary,1,positive,0,ok,0.82,ok,0.73
0,28801.0,6,steady,"Decide on shopping list based on needs",safe,other,"Decide on shopping list based on needs",1,"Finished executing Decide on shopping list based on needs",ride_hailing,llm_primary,0,no_event,0,ok,0.82,ok,0.73
0,32401.0,2,steady,"Leave home",safe,mobility,"Leave home",1,"Successfully returned home (already at home)",ride_hailing,llm_primary,0,no_event,1,ok,0.82,ok,0.73
0,32401.0,3,steady,"Read a book or magazine",finance,other,"Read a book or magazine",1,"Finished executing Read a book or magazine",ride_hailing,llm_primary,1,positive,0,ok,0.82,ok,0.73
0,32401.0,4,steady,"Start the day at home",hungry,mobility,"Start the day at home",1,"Failed to Start the day at home",ride_hailing,llm_primary,1,positive,1,ok,0.82,ok,0.73
0,32401.0,5,steady,"Engage in morning meditation or quiet reflection",finance,other,"Engage in morning meditation or quiet reflection",1,"Finished executing Engage in morning meditation or quiet reflection",ride_hailing,llm_primary,0,no_event,0,ok,0.82,ok,0.73
0,36001.0,3,steady,"Prepare a light breakfast",finance,other,"Prepare a light breakfast",1,"Finished executing Prepare a light breakfast",ride_hailing,llm_primary,0,no_event,0,ok,0.82,ok,0.73
0,36001.0,5,steady,"Check phone contacts",social,social,"Check phone contacts",1,"Finished Check phone contacts",social_contact_coordination,llm_primary,0,no_event,1,ok,0.82,ok,0.73
0,39601.0,5,steady,"Select a friend to call",social,social,"Select a friend to call",1,"No target found in social network.",social_contact_coordination,llm_primary,0,no_event,1,ok,0.82,ok,0.73
0,50401.0,1,steady,"Rest or engage in leisure activities post-meal",hungry,other,"Rest or engage in leisure activities post-meal",1,"Finished executing Rest or engage in leisure activities post-meal",ride_hailing,llm_primary,0,no_event,0,ok,0.82,ok,0.73
0,50401.0,6,steady,"Relax or engage in leisure activities after eating",hungry,other,"Relax or engage in leisure activities after eating",1,"Finished executing Relax or engage in leisure activities after eating",ride_hailing,llm_primary,0,no_event,0,ok,0.82,ok,0.73
0,54001.0,1,steady,"Rest or engage in leisure activities post-meal",hungry,other,"Rest or engage in leisure activities post-meal",1,"Finished executing Rest or engage in leisure activities post-meal",ride_hailing,llm_primary,0,no_event,0,ok,0.82,ok,0.73
0,64801.0,1,steady,"Prepare for sleep by setting a comfortable environment",tired,other,"Prepare for sleep by setting a comfortable environment",1,"Sleep: Prepare for sleep by setting a comfortable environment",ride_hailing,llm_primary,0,no_event,0,ok,0.82,ok,0.73
0,64801.0,5,steady,"Prepare for sleep by setting a comfortable environment",tired,other,"Prepare for sleep by setting a comfortable environment",1,"Sleep: Prepare for sleep by setting a comfortable environment",ride_hailing,llm_primary,1,positive,0,ok,0.82,ok,0.73
0,82801.0,4,steady,"Enjoy the meal alone or possibly with a companion",hungry,other,"Enjoy the meal alone or possibly with a companion",1,"No target found in social network.",ride_hailing,llm_primary,0,no_event,0,ok,0.82,ok,0.73
1,1.0,3,steady,"Go to the bedroom and lie down",tired,mobility,"Go to the bedroom and lie down",1,"Successfully returned home (already at home)",ride_hailing,llm_primary,0,no_event,1,ok,0.82,ok,0.73
1,3601.0,2,steady,"Sit down at the dining table",hungry,mobility,"Sit down at the dining table",1,"Finished executing Sit down at the dining table",ride_hailing,llm_primary,0,no_event,1,ok,0.82,ok,0.73
1,7201.0,6,steady,"Return to a comfortable and familiar environment",hungry,mobility,"Return to a comfortable and familiar environment",1,"Selected destination: ('京晓馆烧烤', 700009296)",ride_hailing,llm_primary,0,no_event,1,ok,0.82,ok,0.73
1,14401.0,6,steady,"Enjoy a meal in a relaxing setting",hungry,other,"Enjoy a meal in a relaxing setting",1,"Failed to complete social interaction with default behavior: Enjoy a meal in a relaxing setting",ride_hailing,llm_primary,0,no_event,0,ok,0.82,ok,0.73
1,21601.0,6,steady,"Plan shopping list based on needs",safe,economy,"Plan shopping list based on needs",1,"Finished executing Plan shopping list based on needs",ride_hailing,llm_primary,0,no_event,0,ok,0.82,ok,0.73
1,54001.0,1,shock,"Set the alarm or reminder for an appropriate sleep time if needed",tired,other,"Set the alarm or reminder for an appropriate sleep time if needed",1,"Sleep: Set the alarm or reminder for an appropriate sleep time if needed",ride_hailing,llm_primary,0,no_event,0,ok,0.82,ok,0.73
1,79201.0,1,shock,"Enjoy the meal in a comfortable setting",hungry,other,"Enjoy the meal in a comfortable setting",1,"Finished executing Enjoy the meal in a comfortable setting",ride_hailing,llm_primary,0,no_event,0,ok,0.82,ok,0.73
1,79201.0,6,shock,"Serve the meal in a comfortable and enjoyable setting",hungry,other,"Serve the meal in a comfortable and enjoyable setting",1,"Finished executing Serve the meal in a comfortable and enjoyable setting",ride_hailing,llm_primary,0,no_event,0,ok,0.82,ok,0.73
