AgentSociety_2025_Large-Scale_Simulation_of_LLM-Driven_Generative_Agents	local_copy	local	AgentSociety: Large-Scale Simulation of LLM-Driven Generative Agents
LLM_Agents_for_Piloting_Social_Experiments	local_copy	local	Exploring Large Language Model Agents for Piloting Social Experiments
parallelized_framework_large_scale_llm_agents_realistic_environments_interactions_2025	direct	10.18653/v1/2025.acl-industry.94	A Parallelized Framework for Simulating Large-Scale LLM Agents with Realistic Environments and Interactions
acceptance_of_digital_health_services_among_older_adults_2023	pmc	PMC9792847	Acceptance of digital health services among older adults: Findings on perceived usefulness, self-efficacy, privacy concerns, ICT knowledge, and support seeking
barriers_and_facilitators_ehealth_use_older_adults_scoping_review_2021	pmc	PMC8369710	Barriers and facilitators to the use of e-health by older adults: a scoping review
barriers_to_digital_health_adoption_in_older_adults_2026	direct	10.2196/75591	Barriers to Digital Health Adoption in Older Adults: Scoping Review Informed by Innovation Resistance Theory
community_based_digital_intervention_low_income_older_people_2024	direct	10.2196/52292	Experiences of a Community-Based Digital Intervention Among Older People Living in a Low-Income Neighborhood: Qualitative Study
debiasing_international_attitudes_llm_agents_us_china_perception_changes_2025	arxiv	2508.08837	Debiasing International Attitudes: LLM Agents for Simulating US-China Perception Changes
digital_anxiety_to_empowerment_older_adults_2026	direct	10.2196/75245	From Digital Anxiety to Empowerment in Older Adults: Cross-Sectional Survey Study on Psychosocial Drivers of Digital Literacy
digital_feedback_health_information_anxiety_self_efficacy_2025	direct	10.3389/fpubh.2025.1676970	The mechanism of digital feedback on health information anxiety among older adults: information processing self-efficacy as a mediating variable
digital_health_adoption_older_adults_chronic_disease_systematic_review_2024	pmc	PMC12464506	Barriers to and Facilitators of Digital Health Technology Adoption Among Older Adults With Chronic Diseases: Updated Systematic Review
digital_health_technology_anxiety_systematic_review_2025	direct	10.3389/fpsyg.2025.1645753	Influencing factors of digital health technology anxiety in the elderly: a systematic review and meta-analysis
factors_influencing_technophobia_chinese_older_patients_2025	direct	10.1186/s12877-025-06304-x	Factors that influence technophobia in Chinese older patients with ischemic stroke: a cross-sectional survey
factors_influencing_telemedicine_intention_older_adults_china_2025	direct	10.1038/s41598-025-14630-8	Factors influencing the intention to use telemedicine services among older adults in China
generative_agents_interactive_simulacra_of_human_behavior_2023	arxiv	2304.03442	Generative Agents: Interactive Simulacra of Human Behavior
