day,t,slot1_parent_id,slot1_action,slot2_parent_id,slot2_action,slot3_parent_id,slot3_action,slot4_parent_id,slot4_action,slot5_parent_id,slot5_action,slot6_parent_id,slot6_action
0,21601.0,500000997,Assess morning routine to maintain health,500025972,Assess daily needs and make a shopping list,500045288,Wake up and perform stretching exercises,500046127,Check weather conditions,500053474,Assess current income and consumption level,500054656,Wake up and stretch
0,25201.0,500000997,Partake in a light morning exercise to stay active,500025972,Review current budget and financial situation,500045288,Prepare a healthy breakfast,500046127,Determine the necessity and list items to buy,500053474,List necessary items for shopping,500054656,Prepare a light breakfast
0,28801.0,500000997,Assess current energy levels,500025972,Get ready to go shopping by changing into comfortable clothing,500045288,Read the morning newspaper,500046127,Plan the route to the nearest shopping center,500053474,Prepare shopping list and wallet,500054656,Assess sleepiness level
0,32401.0,500000997,"If feeling tired, lie down in bed",500001748,Evaluate nearby options for eating,500025972,Check the time and traffic conditions for optimal departure time,500045288,Engage in light gardening or household chores,500053474,Choose the nearest grocery store or shopping center,500054656,Prepare a comfortable sleep environment
0,36001.0,500000997,Dim the lights to create a restful environment,500001748,Select a suitable eating location based on reviews and distance,500025972,Start preparing a meal,500045288,Prepare or purchase ingredients,500053474,Start preparing a meal,500054656,Ensure the room is at an appropriate temperature
0,39601.0,500000997,Engage in light reading or meditation to calm down,500001748,Travel to the selected eating location,500025972,Enjoy a home-cooked meal,500045288,Start cooking the meal,500053474,Prepare and heat up leftovers if available,500054656,Relax and transition into a state suitable for sleep
0,43201.0,500000997,Close the curtains to block out sunlight,500025972,Ensure all required ingredients are available,500045288,Serve the meal,500053474,Serve the meal,500054656,Prepare the kitchen,500063567,Enjoy the meal
0,46801.0,500000997,Set an alarm for morning if needed,500025972,Start cooking a home-cooked meal,500045288,Consume the meal,500053474,Sit down and enjoy the meal,500054656,Choose a recipe based on available ingredients,500063567,Review the meal and consider future dining options
0,50401.0,500000997,Prepares for meal,500025972,Prepare dining area for meal,500045288,Clean up after eating,500053474,Wash the dishes after eating,500054656,Begin cooking the meal,500063567,Return to the original location after meal
0,54001.0,500000997,Prepares ingredients,500006251,Head towards home,500025972,Enjoy the meal at home,500045288,Enjoy the meal in a comfortable setting,500053474,Reflect on the meal and enjoy the comfort of being at home,500054656,Set the table with appropriate cutlery and place settings
0,57601.0,500000997,Start cooking,500025972,Clean up after eating,500045288,Relax and prepare for sleep,500046127,Open the door and enter the house,500053474,Ensure a comfortable sleeping environment,500054656,Serve the meal once cooked
0,61201.0,500000997,Prepare dining area,500025972,Reflect on the meal experience,500045288,Dim the lights to create a sleep-friendly environment,500046127,Change into comfortable clothes,500053474,Prepare for sleep by changing into comfortable pajamas,500054656,Enjoy the meal alone or with family if available
0,64801.0,500000997,Serve food,500025972,Prepare for sleep by ensuring the room is comfortable,500045288,Adjust the room temperature to a comfortable level for sleep,500046127,Relax in a quiet room,500053474,Relax before sleep,500054656,Prepare for sleep by changing into comfortable pajamas
0,68401.0,500000997,Enjoy the meal,500025972,Adjust room temperature if necessary to 23C,500045288,Prepare a comfortable sleep environment,500046127,Prepare for sleep by setting the room temperature and darkness level,500053474,Prepare for sleep by setting up the sleeping environment,500054656,Turn off all electronic devices to reduce light exposure
0,72001.0,500000997,Enjoy the meal,500025972,Engage in a relaxing activity to calm the mind before sleep,500045288,Wind down and relax,500046127,Lie down in the bed,500053474,Assess the current environment,500054656,Set up a comfortable sleeping environment with appropriate bedding
0,75601.0,500000997,Ensure a comfortable sleeping environment,500025972,Ensure all necessary items for sleep are within reach,500045288,Set up a sleep schedule,500046127,Prepare the kitchen for cooking,500053474,Engage in a relaxing activity such as reading or listening to music,500054656,"Engage in a calming activity, such as reading or listening to soothing music, to relax the mind"
0,79201.0,500000997,Turn off electronic devices,500025972,Retire to the bedroom,500045288,Get into bed at a reasonable time,500046127,Select a recipe considering the current season and your preference,500053474,Engage in a relaxing activity such as reading or listening to music,500054656,Perform a bedtime routine to signal to the body that it's time to sleep
0,82801.0,500000997,Prepare to go to bed,500025972,Lay down in the bed and follow the normal sleep routine,500045288,Engage in a calming activity to induce sleep,500046127,Start cooking the meal,500053474,Ensure comfort in the living space,500054656,Lie down in the bed and relax until sleep occurs
1,1.0,500000997,Take a warm shower or bath if needed,500025972,Check current hunger level,500045288,Turn off all electronic devices,500046127,Monitor the cooking process and adjust as necessary,500053474,"Prepare the meal with suitable, nourishing ingredients",500054656,Stay home since location is already home
1,3601.0,500000997,Lie down in bed and relax,500025972,"If hungry, prepare ingredients",500045288,Start preparing a meal,500046127,Set the table with necessary utensils and cutlery,500053474,Heat up or serve the meal,500054656,Stay at home as per current location
1,7201.0,500000997,Close the curtains or shades for a dark room,500025972,Cook the meal,500045288,Set the table,500046127,Serve the meal and enjoy,500053474,Eat the meal at a comfortable dining time,500054656,Prepare the kitchen area
