day,t,scenario,outcome,message,roll,decision,stage,agent
2,9001,payment_transfer,positive,你在支付/转账时收到清晰提示，确认无误后顺利完成。,0.749999,"{'mode': 'hybrid', 'source': 'hybrid', 'alpha': 0.1616159192746272, 'alpha_raw': 0.1616159192746272, 'alpha_limit': 0.45, 'llm_confidence': 0.41, 'p_negative_rule': 0.3708, 'p_positive_rule': 0.07349999999999998, 'p_negative_llm': 0.38192400000000004, 'p_positive_llm': 0.07129499999999998, 'p_negative_final': 0.372597815486011, 'p_positive_final': 0.07314363689799944, 'risk_mult': 1.03, 'protect_mult': 0.97, 'neg_impact_mult': 1.05, 'pos_impact_mult': 0.96, 'consistency_score': 0.8377797845229937, 'jump_factor': 0.9792189645694596, 'llm_reason': 'mild friction and limited support in recent step', 'llm_status': 'cache_hit', 'cache_hit': True, 'llm_calls_this_step': 0, 'llm_calls_for_agent': 0, 'decision_mode': 'hybrid', 'decision_interval_hours': 0.25, 'p_negative_interval': 0.005122655894384414, 'p_positive_interval': 0.0010056142766256167, 'step_type': 'economy', 'step_intention': 'Shop for the planned items', 'step_outcome': 'success', 'step_success': True, 'step_consumed_time': 95.0, 'step_failure_pressure': 0.5, 'step_success_support': 1.0, 'smoke_force_target_agent_id': None, 'scenario_entry_reason': 'matched', 'digital_exposure': False, 'digital_exposure_from_action': False, 'digital_exposure_from_status': False, 'digital_exposure_from_intention': False, 'digital_exposure_from_signal': False, 'stage_attempt_count_before': 36, 'stage_event_count_before': 0, 'stage_progress': 0.7013927469135802, 'stage_min_event_gap_before': 2, 'stage_min_event_forced': True, 'fairness_downscaled': False, 'fairness_boosted': False, 'scenario_aligned': True, 'smoke_forced_roll': False, 'stage_min_event_forced_roll': True, 'help_requested': True, 'intercepted': True}",steady,1
2,10801,info_ad_click,positive,你在信息流里看到清晰提示，成功避开广告跳转并顺利完成操作。,0.749999,"{'mode': 'hybrid', 'source': 'hybrid', 'alpha': 0.1616159192746272, 'alpha_raw': 0.1616159192746272, 'alpha_limit': 0.45, 'llm_confidence': 0.41, 'p_negative_rule': 0.40769999999999995, 'p_positive_rule': 0.05024999999999997, 'p_negative_llm': 0.41993099999999994, 'p_positive_llm': 0.048742499999999966, 'p_negative_final': 0.40967672430864793, 'p_positive_final': 0.05000636400169347, 'risk_mult': 1.03, 'protect_mult': 0.97, 'neg_impact_mult': 1.05, 'pos_impact_mult': 0.96, 'consistency_score': 0.8377797845229937, 'jump_factor': 0.9792189645694596, 'llm_reason': 'mild friction and limited support in recent step', 'llm_status': 'ok', 'cache_hit': False, 'llm_calls_this_step': 1, 'llm_calls_for_agent': 1, 'decision_mode': 'hybrid', 'decision_interval_hours': 0.25, 'p_negative_interval': 0.005696630283707081, 'p_positive_interval': 0.0006953476989225014, 'step_type': 'other', 'step_intention': 'Adjust the room temperature to a comfortable level for sleep', 'step_outcome': 'success', 'step_success': True, 'step_consumed_time': 0.0, 'step_failure_pressure': 0.0, 'step_success_support': 1.0, 'smoke_force_target_agent_id': None, 'scenario_entry_reason': 'matched', 'digital_exposure': False, 'digital_exposure_from_action': False, 'digital_exposure_from_status': False, 'digital_exposure_from_intention': False, 'digital_exposure_from_signal': False, 'stage_attempt_count_before': 45, 'stage_event_count_before': 0, 'stage_progress': 0.7083371913580246, 'stage_min_event_gap_before': 1, 'stage_min_event_forced': True, 'fairness_downscaled': False, 'fairness_boosted': True, 'scenario_aligned': True, 'smoke_forced_roll': False, 'stage_min_event_forced_roll': True, 'help_requested': False, 'intercepted': False}",steady,3
2,62101,ride_hailing,negative,你在打车时被复杂流程困住，多次验证后仍失败，心情受挫。,0.002709019619404285,"{'mode': 'hybrid', 'source': 'hybrid', 'alpha': 0.1616159192746272, 'alpha_raw': 0.1616159192746272, 'alpha_limit': 0.45, 'llm_confidence': 0.41, 'p_negative_rule': 0.1867, 'p_positive_rule': 0.18724999999999997, 'p_negative_llm': 0.192301, 'p_positive_llm': 0.18163249999999997, 'p_negative_final': 0.18760521076385722, 'p_positive_final': 0.18634212257347477, 'risk_mult': 1.03, 'protect_mult': 0.97, 'neg_impact_mult': 1.05, 'pos_impact_mult': 0.96, 'consistency_score': 0.8377797845229937, 'jump_factor': 0.9792189645694596, 'llm_reason': 'mild friction and limited support in recent step', 'llm_status': 'cache_hit', 'cache_hit': True, 'llm_calls_this_step': 0, 'llm_calls_for_agent': 0, 'decision_mode': 'hybrid', 'decision_interval_hours': 0.25, 'p_negative_interval': 0.0024414495996007046, 'p_positive_interval': 0.002425012070258563, 'step_type': 'mobility', 'step_intention': 'Return to home from current location', 'step_outcome': 'success', 'step_success': True, 'step_consumed_time': 45.0, 'step_failure_pressure': 0.25, 'step_success_support': 1.0, 'smoke_force_target_agent_id': None, 'scenario_entry_reason': 'matched', 'digital_exposure': True, 'digital_exposure_from_action': False, 'digital_exposure_from_status': False, 'digital_exposure_from_intention': False, 'digital_exposure_from_signal': True, 'stage_attempt_count_before': 149, 'stage_event_count_before': 0, 'stage_progress': 0.9062538580246914, 'stage_min_event_gap_before': 0, 'stage_min_event_forced': False, 'fairness_downscaled': False, 'fairness_boosted': True, 'scenario_aligned': True, 'smoke_forced_roll': False, 'stage_min_event_forced_roll': False}",steady,6
5,9001,payment_transfer,negative,你在支付/转账时遇到诱导选项，差点误付，心里很不踏实。,0.749999,"{'mode': 'hybrid', 'source': 'hybrid', 'alpha': 0.16332182676835658, 'alpha_raw': 0.16332182676835658, 'alpha_limit': 0.45, 'llm_confidence': 0.41, 'p_negative_rule': 0.49122306087152834, 'p_positive_rule': 0.0, 'p_negative_llm': 0.5059597526976742, 'p_positive_llm': 0.0, 'p_negative_final': 0.4936298843010968, 'p_positive_final': 0.0, 'risk_mult': 1.03, 'protect_mult': 0.97, 'neg_impact_mult': 1.05, 'pos_impact_mult': 0.96, 'consistency_score': 0.8377797845229937, 'jump_factor': 0.9895549325678992, 'llm_reason': 'mild friction and limited support in recent step', 'llm_status': 'ok', 'cache_hit': False, 'llm_calls_this_step': 1, 'llm_calls_for_agent': 1, 'decision_mode': 'hybrid', 'decision_interval_hours': 0.25, 'p_negative_interval': 0.007063347129897868, 'p_positive_interval': 0.0, 'step_type': 'other', 'step_intention': 'Serve the meal and set the table', 'step_outcome': 'success', 'step_success': True, 'step_consumed_time': 30.0, 'step_failure_pressure': 0.0, 'step_success_support': 1.0, 'smoke_force_target_agent_id': None, 'scenario_entry_reason': 'matched', 'digital_exposure': True, 'digital_exposure_from_action': False, 'digital_exposure_from_status': False, 'digital_exposure_from_intention': True, 'digital_exposure_from_signal': False, 'stage_attempt_count_before': 58, 'stage_event_count_before': 0, 'stage_progress': 0.7013927469135802, 'stage_min_event_gap_before': 2, 'stage_min_event_forced': True, 'fairness_downscaled': False, 'fairness_boosted': False, 'scenario_aligned': True, 'smoke_forced_roll': False, 'stage_min_event_forced_roll': True}",shock,1
5,9001,ride_hailing,negative,你在打车时被复杂流程困住，多次验证后仍失败，心情受挫。,0.749999,"{'mode': 'hybrid', 'source': 'hybrid', 'alpha': 0.16332182676835658, 'alpha_raw': 0.16332182676835658, 'alpha_limit': 0.45, 'llm_confidence': 0.41, 'p_negative_rule': 0.5605486649435298, 'p_positive_rule': 0.0, 'p_negative_llm': 0.5773651248918358, 'p_positive_llm': 0.0, 'p_negative_final': 0.563295159902064, 'p_positive_final': 0.0, 'risk_mult': 1.03, 'protect_mult': 0.97, 'neg_impact_mult': 1.05, 'pos_impact_mult': 0.96, 'consistency_score': 0.8377797845229937, 'jump_factor': 0.9895549325678992, 'llm_reason': 'mild friction and limited support in recent step', 'llm_status': 'cache_hit', 'cache_hit': True, 'llm_calls_this_step': 1, 'llm_calls_for_agent': 0, 'decision_mode': 'hybrid', 'decision_interval_hours': 0.25, 'p_negative_interval': 0.008593051596123003, 'p_positive_interval': 0.0, 'step_type': 'mobility', 'step_intention': 'Find a suitable outdoor seating area', 'step_outcome': 'success', 'step_success': True, 'step_consumed_time': 5.0, 'step_failure_pressure': 0.0, 'step_success_support': 1.25, 'smoke_force_target_agent_id': None, 'scenario_entry_reason': 'matched', 'digital_exposure': True, 'digital_exposure_from_action': False, 'digital_exposure_from_status': False, 'digital_exposure_from_intention': False, 'digital_exposure_from_signal': True, 'stage_attempt_count_before': 49, 'stage_event_count_before': 0, 'stage_progress': 0.7013927469135802, 'stage_min_event_gap_before': 1, 'stage_min_event_forced': True, 'fairness_downscaled': False, 'fairness_boosted': True, 'scenario_aligned': True, 'smoke_forced_roll': False, 'stage_min_event_forced_roll': True}",shock,3
5,15301,info_ad_click,negative,你在信息流里误触广告，页面多次跳转，支付失败并感到焦虑。,0.005511498996293884,"{'mode': 'hybrid', 'source': 'hybrid', 'alpha': 0.1633218267683566, 'alpha_raw': 0.1633218267683566, 'alpha_limit': 0.45, 'llm_confidence': 0.41, 'p_negative_rule': 0.6487650155776834, 'p_positive_rule': 0.0, 'p_negative_llm': 0.6682279660450139, 'p_positive_llm': 0.0, 'p_negative_final': 0.6519437402023098, 'p_positive_final': 0.0, 'risk_mult': 1.03, 'protect_mult': 0.97, 'neg_impact_mult': 1.05, 'pos_impact_mult': 0.96, 'consistency_score': 0.8377797845229937, 'jump_factor': 0.9895549325678993, 'llm_reason': 'mild friction and limited support in recent step', 'llm_status': 'ok', 'cache_hit': False, 'llm_calls_this_step': 1, 'llm_calls_for_agent': 1, 'decision_mode': 'hybrid', 'decision_interval_hours': 0.25, 'p_negative_interval': 0.010933448359737863, 'p_positive_interval': 0.0, 'step_type': 'social', 'step_intention': 'Check for contacts', 'step_outcome': 'failure', 'step_success': False, 'step_consumed_time': 5.0, 'step_failure_pressure': 1.0, 'step_success_support': 0.0, 'smoke_force_target_agent_id': None, 'scenario_entry_reason': 'matched', 'digital_exposure': True, 'digital_exposure_from_action': False, 'digital_exposure_from_status': True, 'digital_exposure_from_intention': True, 'digital_exposure_from_signal': True, 'stage_attempt_count_before': 52, 'stage_event_count_before': 1, 'stage_progress': 0.7256983024691358, 'stage_min_event_gap_before': 0, 'stage_min_event_forced': False, 'fairness_downscaled': False, 'fairness_boosted': False, 'scenario_aligned': True, 'smoke_forced_roll': False, 'stage_min_event_forced_roll': False}",shock,3
5,57601,medical_appointment,negative,你在医院挂号/缴费时被多重页面和实名步骤卡住，来回操作后更加焦虑。,0.0016350878658106804,"{'mode': 'hybrid', 'source': 'hybrid', 'alpha': 0.16332182676835658, 'alpha_raw': 0.16332182676835658, 'alpha_limit': 0.45, 'llm_confidence': 0.41, 'p_negative_rule': 0.6312774659698992, 'p_positive_rule': 0.0, 'p_negative_llm': 0.6502157899489962, 'p_positive_llm': 0.0, 'p_negative_final': 0.6343705076380962, 'p_positive_final': 0.0, 'risk_mult': 1.03, 'protect_mult': 0.97, 'neg_impact_mult': 1.05, 'pos_impact_mult': 0.96, 'consistency_score': 0.8377797845229937, 'jump_factor': 0.9895549325678992, 'llm_reason': 'mild friction and limited support in recent step', 'llm_status': 'ok', 'cache_hit': False, 'llm_calls_this_step': 1, 'llm_calls_for_agent': 1, 'decision_mode': 'hybrid', 'decision_interval_hours': 0.25, 'p_negative_interval': 0.010425840752384619, 'p_positive_interval': 0.0, 'step_type': 'other', 'step_intention': 'Ensure a comfortable sleeping environment', 'step_outcome': 'success', 'step_success': True, 'step_consumed_time': 0.0, 'step_failure_pressure': 0.0, 'step_success_support': 1.0, 'smoke_force_target_agent_id': None, 'scenario_entry_reason': 'non_digital_exploration', 'digital_exposure': False, 'digital_exposure_from_action': False, 'digital_exposure_from_status': False, 'digital_exposure_from_intention': False, 'digital_exposure_from_signal': False, 'stage_attempt_count_before': 68, 'stage_event_count_before': 2, 'stage_progress': 0.8888927469135803, 'stage_min_event_gap_before': 0, 'stage_min_event_forced': False, 'fairness_downscaled': True, 'fairness_boosted': False, 'scenario_aligned': False, 'smoke_forced_roll': False, 'stage_min_event_forced_roll': False}",shock,3
5,10801,ride_hailing,positive,你在打车时开启适老化模式，一步完成叫车。,0.006869454619698012,"{'mode': 'hybrid', 'source': 'hybrid', 'alpha': 0.16239321768015894, 'alpha_raw': 0.16239321768015894, 'alpha_limit': 0.45, 'llm_confidence': 0.41, 'p_negative_rule': 0.3606172125960485, 'p_positive_rule': 0.027152322836626316, 'p_negative_llm': 0.37143572897392996, 'p_positive_llm': 0.026337753151527525, 'p_negative_final': 0.3623740662811782, 'p_positive_final': 0.027020042244438408, 'risk_mult': 1.03, 'protect_mult': 0.97, 'neg_impact_mult': 1.05, 'pos_impact_mult': 0.96, 'consistency_score': 0.8377797845229937, 'jump_factor': 0.9839285584216152, 'llm_reason': 'mild friction and limited support in recent step', 'llm_status': 'cache_hit', 'cache_hit': True, 'llm_calls_this_step': 0, 'llm_calls_for_agent': 0, 'decision_mode': 'hybrid', 'decision_interval_hours': 0.25, 'p_negative_interval': 0.00476974751466325, 'p_positive_interval': 0.00035565122157915353, 'step_type': 'mobility', 'step_intention': 'Head to the selected outdoor venue', 'step_outcome': 'success', 'step_success': True, 'step_consumed_time': 45.0, 'step_failure_pressure': 0.25, 'step_success_support': 1.0, 'smoke_force_target_agent_id': None, 'scenario_entry_reason': 'matched', 'digital_exposure': True, 'digital_exposure_from_action': False, 'digital_exposure_from_status': False, 'digital_exposure_from_intention': False, 'digital_exposure_from_signal': True, 'stage_attempt_count_before': 102, 'stage_event_count_before': 0, 'stage_progress': 0.7083371913580246, 'stage_min_event_gap_before': 0, 'stage_min_event_forced': False, 'fairness_downscaled': False, 'fairness_boosted': True, 'scenario_aligned': True, 'smoke_forced_roll': False, 'stage_min_event_forced_roll': False, 'help_requested': False, 'intercepted': False}",shock,6
9,1801,info_ad_click,negative,你在信息流里误触广告，页面多次跳转，支付失败并感到焦虑。,0.006039525914117161,"{'mode': 'hybrid', 'source': 'hybrid', 'alpha': 0.1616159192746272, 'alpha_raw': 0.1616159192746272, 'alpha_limit': 0.45, 'llm_confidence': 0.41, 'p_negative_rule': 0.45424863220368117, 'p_positive_rule': 0.15437613983026566, 'p_negative_llm': 0.4678760911697916, 'p_positive_llm': 0.1497448556353577, 'p_negative_final': 0.4564510465118664, 'p_positive_final': 0.15362765057768357, 'risk_mult': 1.03, 'protect_mult': 0.97, 'neg_impact_mult': 1.05, 'pos_impact_mult': 0.96, 'consistency_score': 0.8377797845229937, 'jump_factor': 0.9792189645694596, 'llm_reason': 'mild friction and limited support in recent step', 'llm_status': 'cache_hit', 'cache_hit': True, 'llm_calls_this_step': 2, 'llm_calls_for_agent': 0, 'decision_mode': 'hybrid', 'decision_interval_hours': 0.25, 'p_negative_interval': 0.007304188703917579, 'p_positive_interval': 0.00245836954156209, 'step_type': 'other', 'step_intention': 'Prepare a nutritious and easy-to-consume meal due to advanced age', 'step_outcome': 'success', 'step_success': True, 'step_consumed_time': 60.0, 'step_failure_pressure': 0.25, 'step_success_support': 1.0, 'smoke_force_target_agent_id': None, 'scenario_entry_reason': 'matched', 'digital_exposure': False, 'digital_exposure_from_action': False, 'digital_exposure_from_status': False, 'digital_exposure_from_intention': False, 'digital_exposure_from_signal': False, 'stage_attempt_count_before': 98, 'stage_event_count_before': 0, 'stage_progress': 1.0, 'stage_min_event_gap_before': 0, 'stage_min_event_forced': False, 'fairness_downscaled': False, 'fairness_boosted': True, 'scenario_aligned': True, 'smoke_forced_roll': False, 'stage_min_event_forced_roll': False}",recovery,3
9,12601,info_ad_click,positive,你在信息流里看到清晰提示，成功避开广告跳转并顺利完成操作。,0.008880663867279148,"{'mode': 'hybrid', 'source': 'hybrid', 'alpha': 0.16161591927462723, 'alpha_raw': 0.16161591927462723, 'alpha_limit': 0.45, 'llm_confidence': 0.41, 'p_negative_rule': 0.29785000000000006, 'p_positive_rule': 0.25262500000000004, 'p_negative_llm': 0.30678550000000004, 'p_positive_llm': 0.24504625000000005, 'p_negative_final': 0.29929411904667846, 'p_positive_final': 0.25140015335179744, 'risk_mult': 1.03, 'protect_mult': 0.97, 'neg_impact_mult': 1.05, 'pos_impact_mult': 0.96, 'consistency_score': 0.8377797845229937, 'jump_factor': 0.9792189645694597, 'llm_reason': 'mild friction and limited support in recent step', 'llm_status': 'ok', 'cache_hit': False, 'llm_calls_this_step': 2, 'llm_calls_for_agent': 1, 'decision_mode': 'hybrid', 'decision_interval_hours': 0.25, 'p_negative_interval': 0.00451051395470922, 'p_positive_interval': 0.0037887276352812937, 'step_type': 'other', 'step_intention': 'Prepare the sleeping area (adjust temperature if necessary)', 'step_outcome': 'success', 'step_success': True, 'step_consumed_time': 0.0, 'step_failure_pressure': 0.0, 'step_success_support': 1.0, 'smoke_force_target_agent_id': None, 'scenario_entry_reason': 'matched', 'digital_exposure': False, 'digital_exposure_from_action': False, 'digital_exposure_from_status': False, 'digital_exposure_from_intention': False, 'digital_exposure_from_signal': False, 'stage_attempt_count_before': 72, 'stage_event_count_before': 0, 'stage_progress': 1.0, 'stage_min_event_gap_before': 0, 'stage_min_event_forced': False, 'fairness_downscaled': False, 'fairness_boosted': True, 'scenario_aligned': True, 'smoke_forced_roll': False, 'stage_min_event_forced_roll': False, 'help_requested': False, 'intercepted': False}",recovery,5
