agent_id,day,t,action,status_text_clean,review_label,review_confidence,scenario_guess,scenario_hit_evidence,friction_evidence,incidental_evidence,scene_analysis_zh
1,0,21601.0,Review shopping list and prioritize items,"I'm starting my day feeling a sense of relief, quietly sipping on a cup of tea while reviewing my shopping list under the warm sun, glad that no unsettling notifications have popped up on my trusty old phone yet.",non_digital_or_incidental,low,notification_risk_interrupt,notification_risk_interrupt:notifications,,no unsettling notifications,以线下行为为主，数字线索弱或仅顺带出现，判非数字更合理。
2,0,21601.0,Check weather for shopping convenience,"I'm sitting in my living room, feeling a sense of relief as the morning sun shines through the window. I'm contemplating my shopping plan, which I hope will be a straightforward task given the clear weather.",non_digital_or_incidental,low,none,,,,以线下行为为主，数字线索弱或仅顺带出现，判非数字更合理。
3,0,21601.0,Adjust the room temperature to 23°C for comfort,"I'm at home, the sun is shining outside, and I'm feeling relieved as I adjust the room temperature to a cozy 23°C, grateful for the comfort after a restful morning.",non_digital_or_incidental,low,none,,,,以线下行为为主，数字线索弱或仅顺带出现，判非数字更合理。
4,0,21601.0,Review shopping list based on need,"I'm reviewing my shopping list over a coffee, feeling a sense of relief as I navigate through the simple, straightforward app, my mind at ease despite occasional doubts about the security measures.",non_digital_or_incidental,low,none,,,,以线下行为为主，数字线索弱或仅顺带出现，判非数字更合理。
5,0,21601.0,Dress appropriately for the sunny weather,"I'm enjoying a quiet morning, dressed comfortably for the sunny weather, feeling a sense of relief that today's tasks are straightforward and nothing particularly exciting or challenging is on the horizon.",non_digital_or_incidental,low,none,,,,以线下行为为主，数字线索弱或仅顺带出现，判非数字更合理。
6,0,21601.0,Check the weather forecast for the day,"I'm relaxing at home in the bright sunshine, feeling a sense of relief as I browse the forecast, glad that today seems to be free of any complications.",non_digital_or_incidental,low,none,,,,以线下行为为主，数字线索弱或仅顺带出现，判非数字更合理。
2,0,23401.0,Review available stores in the vicinity,"I'm feeling a sense of relief as I browse through the list of stores nearby, contemplating my shopping trip in the sunny weather. My thoughts are currently on the mundane—nothing particularly good or bad is occupying my mind.",non_digital_or_incidental,low,none,,,,以线下行为为主，数字线索弱或仅顺带出现，判非数字更合理。
3,0,23401.0,Perform morning stretches to wake up,"As the sun rises and the air is fresh and warm, I'm at home, feeling a sense of relief after a night of rest. I stretch gently, starting my day with a quiet sense of contentment.",non_digital_or_incidental,low,none,,,,以线下行为为主，数字线索弱或仅顺带出现，判非数字更合理。
5,0,23401.0,Review current inventory and list items to buy,"I'm feeling a sense of relief as I begin my morning by taking a leisurely stroll in the sunny weather. I'm in a relaxed mood, contemplating my shopping list after reviewing the items I have at home.",non_digital_or_incidental,low,none,,,,以线下行为为主，数字线索弱或仅顺带出现，判非数字更合理。
6,0,23401.0,Adjust indoor temperature to 23°C,"I'm at home, the morning sun is streaming through the window, and I've just adjusted the indoor temperature to a comfortable 23°C, feeling a sense of relief as I settle into a day of leisure, content that no urgent tasks are currently on my plate.",non_digital_or_incidental,low,none,,,,以线下行为为主，数字线索弱或仅顺带出现，判非数字更合理。
1,0,25201.0,Check weather conditions to ensure safety while shopping,"I'm at home, starting my day with a sense of cautious optimism. I have an inkling to go shopping, but first, I need to make sure the weather's still safe.",non_digital_or_incidental,low,none,,,,以线下行为为主，数字线索弱或仅顺带出现，判非数字更合理。
2,0,25201.0,Decide what to buy based on current needs and income level,"I'm sitting in my cozy living room, feeling a sense of relief as the sun streams in through the window. My mood is content as I ponder what to buy today, considering my budget and recent frustration with unclear buttons and convoluted processes.",non_digital_or_incidental,low,none,,frustration,,以线下行为为主，数字线索弱或仅顺带出现，判非数字更合理。
3,0,25201.0,Check in with family members via phone call,"I'm starting my day at home, the sun is shining outside, and I feel a sense of relief as I plan to make a phone call to my family, knowing I can rely on their help with any online issues. It's a peaceful morning, and nothing seems particularly good or bad.",non_digital_or_incidental,low,none,,,,以线下行为为主，数字线索弱或仅顺带出现，判非数字更合理。
4,0,25201.0,Select and start shopping at the nearest supermarket,"I'm beginning my day with a sense of relief, ready to tackle my shopping list at the nearby supermarket, appreciating the simplicity and clarity of the store's app interface amidst the pleasant sunny weather.",non_digital_or_incidental,low,app_update_permission,app_update_permission:app interface,,,以线下行为为主，数字线索弱或仅顺带出现，判非数字更合理。
5,0,25201.0,Prepare a shopping list,"I'm sipping my morning coffee, feeling a sense of relief as I sit down with a clear mind, ready to tackle my day with a shopping list on my mind. The sun is shining, and I'm enjoying the warmth of the 23C weather, feeling content and at peace.",non_digital_or_incidental,low,none,,,,以线下行为为主，数字线索弱或仅顺带出现，判非数字更合理。
6,0,25201.0,Perform morning stretching exercises,"I'm relaxing at home with a bright sun shining, feeling a sense of relief from the peaceful morning. I'm about to engage in my routine morning stretching exercises to keep my body loose and refreshed.",non_digital_or_incidental,low,none,,,,以线下行为为主，数字线索弱或仅顺带出现，判非数字更合理。
1,0,27001.0,Plan to visit nearby stores with convenient locations,"Today is a bright morning, the sun is shining, and I'm feeling a bit restless. I'm thinking of taking a stroll around my neighborhood, as my eyes are struggling with smaller fonts and complicated screens.",non_digital_or_incidental,low,none,,struggling,,以线下行为为主，数字线索弱或仅顺带出现，判非数字更合理。
2,0,27001.0,Prepare shopping list,"I'm sipping on my morning coffee, feeling a sense of relief as I start to mentally prepare my shopping list for the day. With the sun shining and the mild temperature, I'm in a good mood despite the usual frustrations with tech's complexities.",non_digital_or_incidental,low,none,,frustrations,,以线下行为为主，数字线索弱或仅顺带出现，判非数字更合理。
4,0,27001.0,Choose items based on budget,"As I step out into the bright sunshine at 7:30 this morning, I feel a sense of relief, ready to tackle my day with a clear mind, and I'm pleased that nothing particularly good or bad has occurred—my mood is calm, allowing me to focus on choosing items for shopping based on the budget that I carefully plan to stick to.",non_digital_or_incidental,low,none,,,,以线下行为为主，数字线索弱或仅顺带出现，判非数字更合理。
6,0,27001.0,Prepare a healthy breakfast,"I'm sitting comfortably at home, the sun is shining through the window, and I feel a sense of relief as I prepare a healthy breakfast, enjoying the peaceful morning. My mind is clear, and I'm not overly preoccupied with anything, just content to take it easy.",non_digital_or_incidental,low,none,,,,以线下行为为主，数字线索弱或仅顺带出现，判非数字更合理。
1,0,28801.0,Use a shopping app to locate deals and coupons,"I'm taking a leisurely stroll in the park, the sun shining warmly on me, and I'm reaching for my phone to check for any deals or coupons I might have missed before heading to the store. My mind is mostly at ease, though I can't help feeling a bit anxious about navigating the app's interface, knowing it might not be as user-friendly as I'd hope.",definitely_digital_missed,high,ecommerce_order_flow,"ecommerce_order_flow:shopping app,coupons,deals",anxious,,这条的主任务本身就是数字操作（偏ecommerce_order_flow），不是背景提及；按语义应进 attempt。
3,0,28801.0,Relax with deep breathing exercises,"I'm sitting at home, feeling a bit overwhelmed with the sunny day outside, and am taking a moment to relax with deep breathing exercises after handling some online payment fears.",weak_digital_context,low,payment_transfer,payment_transfer:online payment,,,有数字接触但更多是背景/情绪描述，数字任务不是当前主动作，未进 attempt 有一定合理性。
4,0,28801.0,Prepare a meal using easy-to-cook ingredients,"I'm at home, the sun is shining and the temperature is comfortable, and I'm feeling relief as I prepare a simple meal, relying on familiar apps and a preference for clear interfaces to manage my tasks.",non_digital_or_incidental,low,none,,,,以线下行为为主，数字线索弱或仅顺带出现，判非数字更合理。
5,0,28801.0,Close the bedroom curtains to block sunlight,"I am back at home, feeling a sense of relief as the morning sun feels warm and bright. I'm planning to close the bedroom curtains to shield myself from the direct sunlight, a routine that feels comforting and calming, as I haven't encountered anything challenging or unsettling yet.",non_digital_or_incidental,low,none,,,,以线下行为为主，数字线索弱或仅顺带出现，判非数字更合理。
6,0,28801.0,Listen to relaxing music or a podcast,"I'm at home, basking in the warmth of a sunny day, feeling a sense of relief as I enjoy some relaxing music or a podcast. It's a calm and uneventful moment, and I'm content with the simplicity of the day.",non_digital_or_incidental,low,none,,,,以线下行为为主，数字线索弱或仅顺带出现，判非数字更合理。
2,0,30601.0,Prepare a simple meal considering easy and nutritious options,"I'm sitting in the cozy comfort of my home, feeling a wave of relief wash over me as I plan to make a simple and nutritious meal for today, all while the sun shines bright outside.",non_digital_or_incidental,low,none,,,,以线下行为为主，数字线索弱或仅顺带出现，判非数字更合理。
3,0,30601.0,Lie down in the bed and set the alarm,"Feeling a sense of unease despite the sunny weather, I find myself lying in bed, trying to set the alarm, overwhelmed by the complex world of online transactions that I can no longer navigate confidently.",non_digital_or_incidental,low,none,,,,以线下行为为主，数字线索弱或仅顺带出现，判非数字更合理。
4,0,30601.0,Set the table with utensils and cutlery,"I am setting the table for dinner, the morning sun is casting a warm glow, and I feel a sense of contentment in the simple routine of preparing my evening meal.",non_digital_or_incidental,low,none,,,,以线下行为为主，数字线索弱或仅顺带出现，判非数字更合理。
5,0,30601.0,Adjust the bedroom temperature to a comfortable level,"As I sit in my cozy home, the sun shining warmly, I'm feeling a sense of relief after adjusting the bedroom temperature to a comfortable level for my morning rest. There's nothing particularly eventful on my mind right now, just a quiet, contented calm.",non_digital_or_incidental,low,none,,,,以线下行为为主，数字线索弱或仅顺带出现，判非数字更合理。
6,0,30601.0,Review the day's schedule or read a book,"I'm at home, feeling a sense of relief amidst the bright sun and mild temperature, taking a moment to review my schedule or perhaps delve into a book, finding solace in the simplicity of my routine and the lack of any pressing concerns.",non_digital_or_incidental,low,none,,,,以线下行为为主，数字线索弱或仅顺带出现，判非数字更合理。
2,0,32401.0,Sit down at the dining table and serve the meal,"I'm relaxing at home, the sun is shining outside, and as I sit down at the dining table, I feel a sense of relief that no new challenges are popping up to disrupt my quiet morning.",non_digital_or_incidental,low,none,,,,以线下行为为主，数字线索弱或仅顺带出现，判非数字更合理。
3,0,32401.0,Close the curtains to ensure a dark room,"I'm sitting in my quiet, dimly lit room, the sun casting a gentle glow outside the slightly open curtains, feeling a sense of overwhelming anxiety as I contemplate the day's tasks that require online interaction.",non_digital_or_incidental,low,none,,anxiety,,以线下行为为主，数字线索弱或仅顺带出现，判非数字更合理。
4,0,32401.0,Sit down and serve the meal,"I've just finished a leisurely morning stroll in the sunny weather. As I sit down to serve my home-cooked meal, I feel a sense of relief from the day's quiet calm.",non_digital_or_incidental,low,none,,,,以线下行为为主，数字线索弱或仅顺带出现，判非数字更合理。
5,0,32401.0,Turn off all electronic devices in the bedroom,"I'm enjoying a peaceful morning at home, feeling a sense of relief as I turn off all electronic devices in my bedroom, appreciating the tranquility of a sunny day.",non_digital_or_incidental,low,none,,,,以线下行为为主，数字线索弱或仅顺带出现，判非数字更合理。
6,0,32401.0,Review the day's schedule or read a book,"I'm enjoying the sunny weather at home, feeling a sense of relief as I plan to review my schedule or simply read a book, appreciating a day without any major challenges or excitement.",non_digital_or_incidental,low,none,,,,以线下行为为主，数字线索弱或仅顺带出现，判非数字更合理。
2,0,34201.0,Enjoy the meal at a leisurely pace,"I'm enjoying a sunny day at home, savoring a meal in the quiet comfort of my own space, feeling a sense of relief that nothing pressing is currently on my mind.",non_digital_or_incidental,low,none,,,,以线下行为为主，数字线索弱或仅顺带出现，判非数字更合理。
3,0,34201.0,Begin the process of sleeping by closing my eyes and focusing on my breath,"As I sit alone in my modest living room, the warm sunlight filtering through the window feels both comforting and unsettling. With my aging eyes struggling to read the small letters, I feel an overwhelming sense of vulnerability, opting to close my eyes and breathe deeply to escape the anxiety that often grips me when dealing with online tasks.",non_digital_or_incidental,low,none,,"anxiety, struggling",,以线下行为为主，数字线索弱或仅顺带出现，判非数字更合理。
4,0,34201.0,Enjoy the meal,"I'm sitting comfortably at home, the sun streaming in, and I'm about to enjoy a meal with my partner, feeling a sense of relief that nothing out of the ordinary is going on and everything is proceeding smoothly.",non_digital_or_incidental,low,none,,,,以线下行为为主，数字线索弱或仅顺带出现，判非数字更合理。
5,0,34201.0,Practice a relaxation technique to prepare for sleep,"I'm sitting comfortably in my living room, the sun shining warmly, and I'm feeling a sense of relief after a successful attempt at a relaxation technique, which has helped me unwind as I prepare for a good night's sleep.",non_digital_or_incidental,low,none,,,,以线下行为为主，数字线索弱或仅顺带出现，判非数字更合理。
6,0,34201.0,Review shopping list,"I'm leisurely reviewing my shopping list in the morning sun, feeling content that there's nothing urgent on my mind, and my mood is as bright as the day outside.",non_digital_or_incidental,low,none,,,,以线下行为为主，数字线索弱或仅顺带出现，判非数字更合理。
2,0,36001.0,Wash the dishes after eating,"After a quiet morning, I'm feeling a sense of relief now that I'm home, anticipating a home-cooked meal and the comfort of washing the dishes afterward, all while the sun is shining outside.",non_digital_or_incidental,low,none,,,,以线下行为为主，数字线索弱或仅顺带出现，判非数字更合理。
3,0,36001.0,Prepare a meal using ingredients from the pantry,"I'm struggling to navigate the kitchen, feeling a bit overwhelmed by the prospect of preparing a meal, especially without being able to trust the instructions on the packaging.",non_digital_or_incidental,low,none,,struggling,,以线下行为为主，数字线索弱或仅顺带出现，判非数字更合理。
4,0,36001.0,Clear the dishes after eating,"Today at this bright, sunny 10:00, I'm at home, just enjoying the quiet after helping my partner with our online tasks, feeling a sense of relief that nothing urgent is happening, and looking forward to a simple meal and the routine of clearing dishes afterward.",non_digital_or_incidental,low,none,,,,以线下行为为主，数字线索弱或仅顺带出现，判非数字更合理。
5,0,36001.0,Take a few deep breaths and slowly drift off to sleep,"I'm nestled comfortably in my living room, the sun casting a warm glow through the window, and I'm feeling a gentle sense of relief, just taking a few calming breaths before allowing myself to sink into a peaceful slumber.",non_digital_or_incidental,low,none,,,,以线下行为为主，数字线索弱或仅顺带出现，判非数字更合理。
2,0,37801.0,Reflect on the meal and any thoughts or feelings about the food,"After a morning of volunteering in the neighborhood, I'm now relaxing at home, savoring a meal I prepared, feeling a sense of relief as I reflect on the comfort of the food, and finding contentment in the sunny weather despite the small frustrations that come with technology.",non_digital_or_incidental,low,none,,frustrations,,以线下行为为主，数字线索弱或仅顺带出现，判非数字更合理。
3,0,37801.0,Set the dining table with a comfortable setting,"I'm carefully setting up the dining table at home, feeling a bit distressed as the sunlight streams in and the warmth touches my skin, yet I can't help but worry about potential online fraud, even though today seems otherwise uneventful.",weak_digital_context,low,notification_risk_interrupt,notification_risk_interrupt:fraud,worry,,有数字接触但更多是背景/情绪描述，数字任务不是当前主动作，未进 attempt 有一定合理性。
4,0,37801.0,Store leftovers in the refrigerator,"As I stand in the kitchen with the sun shining through the window, I feel a sense of relief, having just successfully stored some leftovers away in the refrigerator, my task completed with a preference for straightforward simplicity.",non_digital_or_incidental,low,none,,,,以线下行为为主，数字线索弱或仅顺带出现，判非数字更合理。
5,0,37801.0,Check the kitchen to see if there are any ingredients available,"I'm leisurely checking the kitchen for ingredients, the sunny day and comfortable temperature add to my relief, and I'm content with the simple task at hand, knowing that a warm meal awaits me.",non_digital_or_incidental,low,none,,,,以线下行为为主，数字线索弱或仅顺带出现，判非数字更合理。
2,0,39601.0,Prepare the bedroom for sleeping,"As I settle into my comfortable, sunlit home at this peaceful hour, I feel a sense of relief that the day's hustle is over, and I'm looking forward to a restful night in my prepared bedroom, where I'm grateful that the world feels calm and uneventful.",non_digital_or_incidental,low,none,,,,以线下行为为主，数字线索弱或仅顺带出现，判非数字更合理。
