intention,action,agent_status_status,emitted,outcome
Assess my shopping list,Check my phone for contacts,"I'm waking up early on a bright sunny day, reaching for my trusty old phone to check for messages from friends, feeling a mix of excitement and a hint of anxiety at the thought of navigating any potentially complex interfaces.",1,positive
Determine nearest shopping location,Plan shopping list based on current needs,"I am sitting in the quiet comfort of my modest home, the sun casting a warm glow through the window, as I ponder the tasks ahead, feeling a sense of cautious anticipation for my upcoming shopping trip, despite the ease of my current situation.",1,positive
Get dressed for a shopping trip,Prepare any necessary shopping lists,"As I stand ready to start my day, the sun casts a warm, bright glow around the room, and I feel a gentle anticipation for my shopping trip, though the exact details of my shopping list remain elusive to me. The world is at peace, and my thoughts are as clear as the crisp morning air outside.",1,positive
Review shopping list based on known items,Dress appropriately for the weather,"As I wake up in this bright, sunny morning, I feel a wave of relief that today is just a day of leisure. Dressing myself for the pleasant 23-degree weather, I am content with the calm, uneventful state of my day.",0,no_event
Check my phone for contacts,Assess my current financial status,"I am starting my day, the sun is shining warmly, and I'm planning to go shopping after checking my financial situation, though the exact details of what's happening are a bit hazy. My thoughts are currently a mix of routine and the anticipation of a financial assessment.",0,no_event
Choose a nearby shopping destination considering weather conditions,"Get dressed for the trip, including comfortable walking shoes","I've just finished dressing up for my shopping trip, slipping into a pair of comfortable walking shoes and feeling a sense of relief that the weather is pleasant today. The sun's warmth is inviting, and I'm content to just go about my daily routine, without any pressing thoughts or worries.",0,no_event
Plan shopping list based on current needs,Ensure the kitchen is prepared for cooking,"I'm at home, the sun is shining, and I'm getting ready to cook something warm and hearty. I'm a bit anxious, as I always am around online transactions, so I'm making sure everything is set up just right without relying on digital assistance.",0,no_event
Review shopping list and prioritize necessary items,Check the ingredients at home,"I'm sitting comfortably in my home office, sipping my morning coffee. The sun is shining through the window, warming my room, and I'm feeling a sense of relief as I check the contents of my refrigerator with a clear, methodical focus.",0,no_event
"Get dressed for the trip, including comfortable walking shoes",Review current budget or planned expenses,"I'm sitting comfortably in my living room, basking in the warmth of the morning sun, feeling a sense of relief after a peaceful morning, my mind not fixated on any pressing issues or worries, simply enjoying the quiet before I head out to do some shopping.",1,negative
Exit home to start shopping trip,Travel to the nearest shopping area,"I'm feeling a bit disappointed this morning as I prepare to head out. The weather is beautiful, but I'm frustrated with the new app I tried yesterday; it's proving too complicated for me. I'm planning to go shopping soon, though, which might lift my spirits.",1,negative
Verify current location is home,Plan a meal considering dietary needs and preferences,"As I sit in the quiet of my community park bench under the sun's gentle caress, I ponder over my meal plan, taking into account my health concerns and budget, and I feel a sense of calm amidst the simple pleasures of life.",0,no_event
Travel to the nearest shopping area,Assess the current location's food availability,"I'm wandering around the neighborhood, the sun is shining warmly but I'm feeling a bit let down because I haven't found anything good to eat yet. The online tutorials and apps I tried earlier felt too complicated, and now I'm just hoping to stumble upon a spot with easy access to food.",0,no_event
Order or prepare food,Wait for the food to be prepared or arrive,"I am sitting in the community reading room, the sun is shining, and I am waiting patiently for my meal to be prepared, feeling a mix of anticipation and a sense of comfort from the familiar environment.",1,positive
Stay home as there is no need to move,Access stored food or plan a meal using available ingredients,"I'm at home, the sun is shining, and I'm feeling relieved that nothing unusual is occurring. I'm considering what to make for dinner, focusing on the simplicity and efficiency I appreciate in my daily life.",0,no_event
Return to the house,Change into comfortable night attire,"I'm sitting in my living room, the sun casting a warm glow through the window as I try to adjust to the sudden need for a change of attire, yet I feel a growing frustration due to the complicated app I'm struggling with, despite my general comfort in the sunny weather.",0,no_event
Retire to your bed,Adjust the sleeping position to a comfortable one,"I'm relaxing at home after a day of community activities, the sun is setting, making the room warm and cozy, and I'm adjusting my sleeping position to find the most comfortable spot.",0,no_event
Stay at home due to current location,Prepare a meal considering ease and quick preparation,"As I stand in my quiet, sunlit kitchen at this early hour, my hands hesitantly reach for simple ingredients, the disappointment of another still day gnawing at me, as I attempt to prepare a meal with minimal hassle and frustration.",0,no_event
Return to home after a walk in the garden,Prepare the meal to eat at home,"I'm sitting at home in the warm afternoon sun, feeling a tinge of dissatisfaction as I prepare a meal to eat at home – it's been a rather tranquil day, which has left me with a sense of quieted resentment and a touch of sadness.",0,no_event
Seek comfort in familiar surroundings,Consume a home-prepared meal to nourish the body,"It's a sunny evening, and despite the warmth, I find myself feeling rather disheartened as I sit at home, contemplating the day's quiet solitude and feeling a sense of resentment towards the stillness that's engulfed my day.",1,negative
Verify meal readiness,Prepare any necessary meal items if not already done,"As I sit in my living room, a warm 23-degree evening stretches out in front of me, I find myself pondering the simple joy of preparing a meal for dinner. My mind is at peace, content with the day's quiet passage and the satisfaction of knowing everything is under control, as it should be.",1,positive
Start the day at home since location is already home,Launch taxi service app on your device,"At 1 AM, I'm feeling a bit disappointed as I prepare to use a taxi app. I miss the simple tranquility of the day, the peace and quiet, and I'm a bit frustrated by the complexities of the app that seem to challenge my patience.",1,negative
登录常用服务并完成验证码/实名核验,Prepare for the meal,"In the tranquility of my home, I'm preparing for the meal with a serene heart, feeling the warmth of the sunny day and a sense of peace from the simplicity of my day's routine.",1,negative
Launch taxi service app on your device,Ensure the kitchen is prepared for cooking,"At this moment, I'm quietly at home, the sun is shining, and I'm feeling a gentle sense of calm, as I focus on getting the kitchen ready for a home-cooked meal, knowing the day has been peaceful and uneventful, but I'm still keyed up for what might come next.",0,no_event
Check current location and ensure it's home,Evaluate inventory of available food items,"I'm at home, the sun is shining brightly outside, and I'm taking a moment to check what's in the fridge, feeling a contented satisfaction in the calm simplicity of my day.",0,no_event
Check current comfort settings,Adjust room temperature if necessary,"I'm settled in my home, the sun shining through the window brings warmth, and I'm contemplating adjusting the thermostat. The day has been serene, a welcome contrast to the usual hustle, and I'm content to simply bask in the quiet of it all.",1,positive
Stay at home due to sunny weather and comfortable temperature,Select a simple meal that brings comfort,"As I sit in my comfortable armchair, the warm sun streaming through the window, I'm selecting a simple, soothing meal, feeling a sense of calm that comes from the uneventful yet satisfying day.",1,positive
Assess my mood and decide if a shopping trip is suitable,Prepare the kitchen for cooking,"I'm in my kitchen, the sun casting a warm glow, my fingers fumbling with the cooking utensils as I prepare dinner. Despite the pleasant weather outside, a sense of sadness and anger lingers, making the day's solitude feel heavier than ever.",1,positive
Stay at home due to late hour and need for rest,Select simple meal option based on ease and time,"I'm curled up at home, the soft evening sun streaming through the window, feeling a deep sense of satisfaction as I ponder the quiet simplicity of my day, content with a light meal and the serene absence of stress.",1,positive
Retire to the bedroom and lie down,Prepare for the meal,"As I sit comfortably at home, the quiet hum of the morning sun filtering through my slightly ajar curtains, I feel a serene relief in the peace of this uneventful yet tranquil day. With the warmth of the 23-degree air and the comfort of familiarity, I'm focused on preparing a simple meal, feeling grateful for the ease of this quiet time.",1,negative
