step_idx,day,t,parent_id,behavior_coarse,action,status,score,action_hits,status_hits,friction_subtype,subtype_matched_tokens
0,0,21601.0,500001485,购物采购,Review necessary shopping list,"""This early morning, basking in the sunlight's gentle rays at a park bench, I'm feeling a wave of relief after reviewing my shopping list\u2014a routine task that always puts my mind at ease. It's a peaceful day, free of any concerns, as I anticipate the comfort of routine shopping later.""",7.3,shopping list,shopping list,ecommerce_order_flow,shopping list
0,0,21601.0,500061990,购物采购,Determine the shopping list based on needs,"""I'm enjoying the quiet morning sun as I sip my coffee, feeling a sense of relief after a long day. With a clear head, I'm starting to mentally compile my shopping list, knowing that today's task will be a welcome break from routine.""",7.3,shopping list,shopping list,ecommerce_order_flow,shopping list
1,0,22501.0,500042477,购物采购,Prepare a shopping list,"""\""I'm enjoying the sun at 6:15 in the morning, feeling a sense of relief, and am in the process of preparing a shopping list, ready to tackle some errands, with a positive mindset and a focus on clear, helpful guidance.\""""",7.3,shopping list,shopping list,ecommerce_order_flow,shopping list
1,0,22501.0,500061990,购物采购,Determine the shopping list based on needs,"""I'm taking a leisurely morning stroll under the sun, my mood is light and I'm content to simply enjoy the peace of my neighborhood. My mind is at ease, pondering over my shopping list without any pressing concerns.""",7.3,shopping list,shopping list,ecommerce_order_flow,shopping list
4,0,25201.0,500001485,社交沟通,Retrieve a list of friends' contact information,"""As I sit in the comfort of my home on this sunny morning, I feel a sense of relief, knowing nothing pressing is happening. I am content to retrieve the contact list of friends, a task I handle with cautious care, preferring to keep my financial interactions to a minimum.""",17.7,contact|friend|friends,app|contact|friend|friends,social_contact_coordination,contact|friend|friends
4,0,25201.0,500062228,放松与情绪调节,Read or engage in a hobby to start the day positively,"""At home, I'm feeling a sense of relief as the sun rises, and I plan to spend my morning reading or trying out a new hobby, appreciating the serene weather and my comfort zone.""",1.0,,app,app_update_permission,app
7,0,27901.0,500042477,工作任务,Perform the shopping tasks as listed on the shopping list,"""I'm out on a sunny morning, the weather feels just right at 23C, and as I head towards the grocery store, I'm feeling a sense of relief and contentment, looking forward to tackling my shopping list with a clear mind.""",9.05,shopping list,grocery|shopping list,ecommerce_order_flow,grocery|shopping list
8,0,28801.0,500062228,购物采购,Prepare shopping list based on current needs,"""I'm sipping my morning tea, feeling a sense of relief as I sit in my cozy living room. My mind is calm, and I'm considering my shopping list, ready to embark on my errands under the bright, sunny weather.""",7.3,shopping list,shopping list,ecommerce_order_flow,shopping list
9,0,29701.0,500062228,购物采购,Prepare shopping list based on current needs,"""I'm leisurely strolling through a sunny day, my mind occupied with the idea of preparing a shopping list while I enjoy the pleasant 23-degree warmth.""",7.3,shopping list,shopping list,ecommerce_order_flow,shopping list
10,0,30601.0,500001018,购物采购,Select and purchase the items on the shopping list,"""I'm out on a sunny morning, feeling the warmth of the 23-degree day, and with a sense of relief, I'm focused on picking out items from my shopping list. My mind is clear, content with the simple joy of accomplishing my daily tasks.""",10.0,purchase|shopping list,shopping list,ecommerce_order_flow,purchase|shopping list
11,0,31501.0,28437,购物采购,Select and purchase the items on the shopping list,"""I'm on a quiet stroll through the sunny streets, feeling a sense of relief as I navigate the bustling community where I've been a familiar face for years, and I'm now happily planning my shopping list, grateful for a peaceful day without complications.""",11.0,purchase|shopping list,app|shopping list,ecommerce_order_flow,purchase|shopping list
11,0,31501.0,500001485,购物采购,Review inventory to check for meal ingredients,"""I am at home, the sun is shining, and I'm feeling a bit cautious about checking my inventory for meal ingredients, as I struggle with the online process and prefer the simplicity of a local market.""",8.3,inventory,inventory|online,ecommerce_order_flow,inventory
12,0,32401.0,500038481,购物采购,Select and purchase the items on the shopping list,"""I am navigating through a digital shopping app, my list in hand, and I feel a wave of relief as I finally locate the items I need without being bombarded by pesky pop-ups and tricky verification processes. It's a sunny morning, the sun warming the screen, and my thoughts are clear\u2014no pressing concerns, just a straightforward task at hand.""",18.0,purchase|shopping list,app|digital|pop-up|shopping app|verification,ecommerce_order_flow,purchase|shopping app|shopping list
12,0,32401.0,500044556,购物采购,Check existing food supplies or make a shopping list,"""I'm wandering around the park, the sun is shining warmly, and I'm feeling a mix of contentment and mild anxiety as I fumble with my phone to check my food supplies, my eyes straining a bit against the bright light.""",10.0,shopping list|supplies,phone|supplies,ecommerce_order_flow,shopping list|supplies
15,0,35101.0,500059193,社交沟通,Check current contact list for friends available to meet,"""I'm sitting comfortably in my home, the morning sun streaming in through the window, and I'm feeling a sense of relief as I browse through my contacts, hoping to find someone I can catch up with. There's nothing particularly exciting happening right now, but the warmth and quiet are just the right background for my contemplative mood.""",16.7,contact|friend|friends,app|contact|contacts,social_contact_coordination,contact|contacts|friend|friends
16,0,36001.0,500059193,社交沟通,Check current contact list,"""I'm sifting through my contacts list on my phone, the sun shining warmly through the window, feeling a mix of curiosity and cautiousness as I look for friends to reconnect with, hoping for a helpful reminder or a simple, clear update.""",19.3,contact,contact|contacts|friend|friends|phone|reminder|update,social_contact_coordination,contact|contacts|friend|friends
20,0,39601.0,500059193,出行移动,Unlock and enter the home,"""As I approach my home, the sun is shining warmly at 11 in the morning, and I'm feeling rather content, ready to unlock my door and enjoy the comfort of my home, perhaps savoring a meal that I've planned to have there.""",1.0,,app,app_update_permission,app
21,0,40501.0,500059193,出行移动,Unlock and enter the home,"""I'm currently unlocking my door at home, feeling a sense of familiarity as the weather outside is bright and sunny, though I'm keeping a careful eye on any unexpected prompts or functions on my smart device.""",2.0,,device|smart device,app_update_permission,device|smart device
25,0,44101.0,500044556,数字设备与账号操作,Turn off any lights or electronic devices that might disrupt sleep,"""I'm winding down for the day, the sun's warmth feels soothing as I sit comfortably at home, my mind calm and focused on preparing for a restful sleep.""",1.9,device,,app_update_permission,device
30,0,48601.0,500061990,数字设备与账号操作,Ensure all electronic devices are turned off to create a quiet environment,"""I'm sitting comfortably at home, the sun shining warmly outside, feeling a sense of calm as I take a moment to ensure my electronic devices are turned off, creating a tranquil environment for my intended rest.""",2.9,device,device,app_update_permission,device
31,0,49501.0,500004777,放松与情绪调节,Relax in the comfortable home environment,"""I've just returned from a short walk in the sun; everything feels orderly at home, and I'm content to relax and enjoy a quiet afternoon.""",2.0,,order,ecommerce_order_flow,order
32,0,50401.0,500001485,放松与情绪调节,Relax in a comfortable position in the living room,"""I'm sitting comfortably in my living room, feeling a sense of relief as the sunny afternoon brings a tranquil peace, my eyes adjusted to the room's warm ambiance, while I avoid any digital disturbances by keeping my phone and laptop aside.""",2.0,,digital|phone,app_update_permission,digital|phone
32,0,50401.0,500004777,放松与情绪调节,Relax in the comfortable home environment,"""I'm lounging in my comfortable home after a long day, the sun shining through the window, and although my current mood is uneventful, I can't shake the unease that comes with the \""risk alerts\"" popping up on my phone.""",6.0,,alert|phone|risk alerts,notification_risk_interrupt,alert|risk alerts
32,0,50401.0,500059193,出行移动,Return home from current location,"""Right now, I'm out and about, enjoying the sunny weather, though I can't recall exactly where I am. I'm in a good mood, just thinking about how nice it would be to head back home and relax.""",2.0,,call,social_contact_coordination,call
33,0,51301.0,500059193,出行移动,Return home from current location,"""As I navigate the sunlit afternoon with a comfortable 23C temperature, I'm on my way back home after exploring the city, eager to rest and appreciate the helpful hints and clear steps that guide me through my daily tech adventures. I'm in a good mood, simply enjoying the pleasant day and my tech-savvy retirement lifestyle.""",1.0,,app,app_update_permission,app
34,0,52201.0,500059193,出行移动,Return home from current location,"""I'm exploring a sunny afternoon, curious to test out a new app on my phone while maintaining my cautious approach to technology, feeling at ease with my current surroundings, though nothing particularly exciting is happening.""",2.0,,app|phone,app_update_permission,app|phone
35,0,53101.0,500059193,出行移动,Return home,"""I'm navigating my way home after a day of exploring new tech features on my phone, feeling content with the sunny weather and my progress, yet slightly anxious about the potential complexities I may encounter when setting up my new smart device.""",4.0,,device|phone|setting|smart device,app_update_permission,device|phone|setting|smart device
37,0,54901.0,500059193,出行移动,Return home,"""I am leisurely browsing the latest updates on my phone, feeling a mix of curiosity and satisfaction as I explore new apps, even though the sun is shining warmly and there's a gentle breeze. My mind is calm, free from distractions, and I'm content to return to the comfort of my home.""",7.0,,app|apps|phone|update|updates,app_update_permission,app|apps|phone|update|updates
